AAID,ID10,ETAG,YRREC,PEN,RGRP,LOT,BAND,TRT,BPEN,BGRP,STUDY,STUDYTRT
AA112004114370,2004114370,R4370,2011,32R,0,.,2,.,,,Term,
AA112004114383,2004114383,R4383,2011,34R,0,.,2,.,,,Term,
AA112004114384,2004114384,R4384,2011,34R,0,.,1,.,,,Term,
AA112004114385,2004114385,R4385,2011,33R,0,.,2,.,,,Term,
AA112004114411,2004114411,R4411,2011,11,0,.,1,.,,,Term,Albmn
AA112004114412,2004114412,R4412,2011,15,0,.,2,.,,,Term,
AA112004114417,2004114417,R4417,2011,05,0,.,,.,,,Term,
AA112004114418,2004114418,R4418,2011,08,0,.,,.,,,Term,
AA112004114424,2004114424,R4424,2011,33R,0,.,,.,,,Term,
AA112004114427,2004114427,R4427,2011,31R,0,.,H,.,,,Ramb,
AA112004114429,2004114429,R4429,2011,11,0,.,,.,,,Term,
AA112004114450,2004114450,R4450,2011,11,0,.,2,.,,,Term,
AA112004114471,2004114471,R4471,2011,34R,0,.,1,.,,,Term,
AA112004114481,2004114481,R4481,2011,21,0,.,1,.,,,Term,
AA112004114484,2004114484,R4484,2011,02,0,.,2,.,,,Term,
AA112004114517,2004114517,R4517,2011,34R,0,.,2,.,,,Term,
AA112004114519,2004114519,R4519,2011,13,0,.,1,.,,,Term,
AA112004114549,2004114549,R4549,2011,33R,0,.,D,.,,,Term,
AA112004114555,2004114555,R4555,2011,31R,0,.,2,.,,,Term,
AA112004114559,2004114559,R4559,2011,11,0,.,1,.,,,Term,
AA112004114570,2004114570,R4570,2011,06,0,.,D,.,,,Term,
AA112004114571,2004114571,R4571,2011,27,0,.,H,.,,,Term,
AA112004114588,2004114588,R4588,2011,07,0,.,D,.,,,Term,
AA112004114592,2004114592,R4592,2011,01,0,.,D,.,,,Term,
AA112004114605,2004114605,R4605,2011,31R,0,.,2,.,,,Term,
AA112004114606,2004114606,R4606,2011,31R,0,.,,.,,,Term,
AA112004114612,2004114612,R4612,2011,03,0,.,2,.,,,Term,
AA112004114635,2004114635,R4635,2011,04,0,.,1,.,,,Term,
AA112004114653,2004114653,R4653,2011,25,0,.,1,.,,,Term,
AA112004114678,2004114678,R4678,2011,02,0,.,1,.,,,Term,
AA112004114684,2004114684,R4684,2011,08,0,.,1,.,,,Term,
AA112004114701,2004114701,R4701,2011,23,0,.,D,.,,,Term,
AA112004114742,2004114742,R4742,2011,34R,0,.,1,.,,,Term,
AA112004114773,2004114773,R4773,2011,04,0,.,2,.,,,Term,
AA112004114779,2004114779,R4779,2011,02,0,.,2,.,,,Term,
AA112004114789,2004114789,R4789,2011,03,0,.,D,.,,,Term,
AA112004114793,2004114793,R4793,2011,04,0,.,2,.,,,Term,
AA112004114796,2004114796,R4796,2011,e.5,0,.,2,.,,,Term,
AA112004114819,2004114819,R4819,2011,02,0,.,,.,,,Term,
AA112004114823,2004114823,R4823,2011,06,0,.,2,.,,,Term,
AA112004114863,2004114863,R4863,2011,01,0,.,,.,,,Ramb,
AA112004114885,2004114885,R4885,2011,e.5,0,.,2,.,,,Ramb,
AA112004114895,2004114895,R4895,2011,e.5,0,.,1,.,,,Term,Albmn
AA112004114946,2004114946,R4946,2011,02,0,.,1,.,,,Term,
AA112004114990,2004114990,R4990,2011,35,0,.,2,.,,,Term,
AA112004115000,2004115000,R5000,2011,44,0,.,2,.,,,Term,
AA112004115007,2004115007,R5007,2011,03,0,.,H,.,,,Term,
AA112004115068,2004115068,R5068,2011,43,0,.,H,.,,,Term,
AA112004115094,2004115094,R5094,2011,45,0,.,D,.,,,Term,Albmn
AA112004115109,2004115109,R5109,2011,38,0,.,D,.,,,Term,
AA112004115112,2004115112,R5112,2011,45,0,.,2,.,,,Term,
AA112004115135,2004115135,R5135,2011,36,0,.,2,.,,,Term,
AA112004115168,2004115168,R5168,2011,e.5,0,.,2,.,,,Term,
AA112004115170,2004115170,R5170,2011,45,0,.,2,.,,,Term,
AA112004115185,2004115185,R5185,2011,34,0,.,H,.,,,Term,
AA112004115192,2004115192,R5192,2011,35,0,.,1,.,,,Term,
AA112004115195,2004115195,R5195,2011,33,0,.,1,.,,,Term,
AA112004115222,2004115222,R5222,2011,31,0,.,,.,,,Term,
AA112005115268,2005115268,R5268,2011,00,0,OVX,D,X,Ovx,O,ISO,
AA112005115284,2005115284,R5284,2011,00,0,OVX,D,X,Ovx,O,ISO,
AA112005115314,2005115314,R5314,2011,00,0,OVX,D,X,Ovx,O,ISO,
AA112005115344,2005115344,R5344,2011,00,0,OVX,D,X,Ovx,O,ISO,
AA112005115388,2005115388,R5388,2011,45R,0,.,2,.,,,Term,Albmn
AA112005115389,2005115389,R5389,2011,45R,0,.,2,.,47,2,Term,
AA112005115390,2005115390,R5390,2011,45R,0,.,H,.,49,2,Term,
AA112005115396,2005115396,R5396,2011,e.7,0,.,2,.,50,2,Term,
AA112005115401,2005115401,R5401,2011,44R,0,.,D,.,,,Term,
AA112005115420,2005115420,R5420,2011,41R,0,.,H,.,51,2,Term,
AA112005115466,2005115466,R5466,2011,43R,0,.,2,.,,,Term,
AA112005115496,2005115496,R5496,2011,45R,0,.,2,.,46,2,Term,Albmn
AA112005115497,2005115497,R5497,2011,46R,0,.,1,.,,,Term,
AA112005115499,2005115499,R5499,2011,35R,0,.,1,.,,,Term,
AA112005115527,2005115527,R5527,2011,42R,0,.,1,.,,,Term,
AA112005115537,2005115537,R5537,2011,37R,0,.,1,.,,,Term,
AA112005115541,2005115541,R5541,2011,37R,0,.,1,.,47,2,Term,
AA112005115566,2005115566,R5566,2011,44R,0,.,2,.,53,2,Term,
AA112005115567,2005115567,R5567,2011,44R,0,.,2,.,,,Term,
AA112005115583,2005115583,R5583,2011,44R,0,.,2,.,,,Term,
AA112005115590,2005115590,R5590,2011,e.7,0,.,,.,,,Term,
AA112005115634,2005115634,R5634,2011,46R,0,.,2,.,47,2,Term,
AA112005115660,2005115660,R5660,2011,45R,0,.,2,.,48,2,Term,
AA112005115670,2005115670,R5670,2011,42R,0,.,2,.,50,2,Term,
AA112005115674,2005115674,R5674,2011,41R,0,.,D,.,,,Term,Spurge
AA112005115677,2005115677,R5677,2011,32R,0,.,1,.,51,2,Term,
AA112005115724,2005115724,R5724,2011,32R,0,.,1,.,,,Term,
AA112005115730,2005115730,R5730,2011,35R,0,.,2,.,,,Term,
AA112005115736,2005115736,R5736,2011,34R,0,.,2,.,,,Term,
AA112005115737,2005115737,R5737,2011,37R,0,.,1,.,,,Term,
AA112005115750,2005115750,R5750,2011,44R,0,.,2,.,53,2,Term,
AA112005115752,2005115752,R5752,2011,32R,0,.,H,.,,,Term,
AA112005115756,2005115756,R5756,2011,31R,0,.,D,.,,,Term,
AA112005115762,2005115762,R5762,2011,32R,0,.,2,.,,,Term,Albmn
AA112005115774,2005115774,R5774,2011,e.8,0,.,2,.,,,Term,
AA112005115784,2005115784,R5784,2011,31R,0,.,2,.,,,Term,
AA112005115790,2005115790,R5790,2011,34R,0,.,1,.,52,2,Term,
AA112005115793,2005115793,R5793,2011,32R,0,.,1,.,47,2,Term,Albmn
AA112005115826,2005115826,R5826,2011,32R,0,.,D,.,,,Term,
AA112005115830,2005115830,R5830,2011,46R,0,.,2,.,,,Term,
AA112005115854,2005115854,R5854,2011,31R,0,.,1,.,47,2,Term,Albmn
AA112005115874,2005115874,R5874,2011,42R,0,.,H,.,,,Term,
AA112005115875,2005115875,R5875,2011,44R,0,.,1,.,46,2,Term,
AA112005115880,2005115880,R5880,2011,37R,0,.,1,.,,,Term,
AA112005115907,2005115907,R5907,2011,46R,0,.,2,.,49,2,Term,
AA112005115918,2005115918,R5918,2011,34R,0,.,2,.,51,2,Term,
AA112005115919,2005115919,R5919,2011,45R,0,.,1,.,,,Term,
AA112005115920,2005115920,R5920,2011,45R,0,.,2,.,50,2,Term,
AA112005115952,2005115952,R5952,2011,44R,0,.,2,.,,,Term,
AA112005115955,2005115955,R5955,2011,44R,0,.,2,.,50,2,Term,
AA112005115961,2005115961,R5961,2011,42R,0,.,2,.,52,2,Term,
AA112005115965,2005115965,R5965,2011,32R,0,.,,.,,,Term,
AA112005115984,2005115984,R5984,2011,37R,0,.,2,.,,,Term,
AA112005115992,2005115992,R5992,2011,34R,0,.,1,.,46,2,Term,
AA112005115999,2005115999,R5999,2011,45R,0,.,2,.,,,Term,
AA112005116020,2005116020,R6020,2011,41R,0,.,1,.,47,2,Term,
AA112005116040,2005116040,R6040,2011,46R,0,.,2,.,47,2,Ramb,
AA112005116045,2005116045,R6045,2011,31R,0,.,2,.,46,2,Term,
AA112005116049,2005116049,R6049,2011,41R,0,.,1,.,,,Term,
AA112005116081,2005116081,R6081,2011,45R,0,.,2,.,,,Term,
AA112005116096,2005116096,R6096,2011,31R,0,.,2,.,,,Term,Albmn
AA112005116098,2005116098,R6098,2011,46R,0,.,1,.,48,2,Term,
AA112006116139,2006116139,R6139,2011,31,0,.,2,.,,,Ramb,
AA112006116142,2006116142,R6142,2011,32,0,PTH,2,.,,,Ramb,
AA112006116159,2006116159,R6159,2011,31,0,.,1,.,46,2,Ramb,Albmn
AA112006116161,2006116161,R6161,2011,38,0,PTH,2,.,49,2,Ramb,
AA112006116172,2006116172,R6172,2011,31,0,PTH,2,.,49,2,Ramb,
AA112006116184,2006116184,R6184,2011,32,0,.,1,.,52,2,Ramb,
AA112006116190,2006116190,R6190,2011,36,0,.,D,.,,,Ramb,Albmn
AA112006116201,2006116201,R6201,2011,36,0,PTH,2,.,49,2,Ramb,
AA112006116203,2006116203,R6203,2011,33,0,PTH,2,.,49,2,Ramb,
AA112006116204,2006116204,R6204,2011,33,0,.,1,.,,,Ramb,
AA112006116205,2006116205,R6205,2011,33,0,.,1,.,,,Ramb,
AA112006116215,2006116215,R6215,2011,38,0,.,1,.,52,2,Ramb,
AA112006116221,2006116221,R6221,2011,37,0,PTH,2,.,46,2,Ramb,
AA112006116227,2006116227,R6227,2011,31,0,.,2,.,,,Ramb,
AA112006116229,2006116229,R6229,2011,33,0,.,2,.,47,2,Ramb,
AA112006116250,2006116250,R6250,2011,32,0,.,2,.,,,Ramb,
AA112006116260,2006116260,R6260,2011,31,0,.,1,.,53,2,Ramb,
AA112006116262,2006116262,R6262,2011,35,0,PTH,H,.,52,2,Ramb,
AA112006116271,2006116271,R6271,2011,35,0,.,2,.,,,Ramb,
AA112006116272,2006116272,R6272,2011,34,0,.,2,.,,,Ramb,
AA112006116274,2006116274,R6274,2011,33,0,.,1,.,49,2,Ramb,
AA112006116277,2006116277,R6277,2011,37,0,.,1,.,,,Ramb,
AA112006116288,2006116288,R6288,2011,34,0,.,2,.,,,Ramb,
AA112006116293,2006116293,R6293,2011,35,0,.,2,.,,,Ramb,
AA112006116298,2006116298,R6298,2011,35,0,PTH,2,.,48,2,Ramb,
AA112006116299,2006116299,R6299,2011,35,0,.,1,.,,,Ramb,
AA112006116306,2006116306,R6306,2011,32,0,.,2,.,51,2,Ramb,
AA112006116309,2006116309,R6309,2011,34,0,PTH,H,.,53,2,Ramb,
AA112006116317,2006116317,R6317,2011,33,0,.,2,.,53,2,Ramb,
AA112006116322,2006116322,R6322,2011,31,0,.,2,.,48,2,Ramb,
AA112006116325,2006116325,R6325,2011,37,0,.,1,.,46,2,Ramb,
AA112006116326,2006116326,R6326,2011,34,0,.,2,.,51,2,Ramb,
AA112006116333,2006116333,R6333,2011,35,0,PTH,2,.,,,Ramb,
AA112006116339,2006116339,R6339,2011,38,0,.,2,.,51,2,Ramb,
AA112006116343,2006116343,R6343,2011,38,0,.,2,.,46,2,Ramb,
AA112006116346,2006116346,R6346,2011,38,0,.,1,.,47,2,Ramb,
AA112006116347,2006116347,R6347,2011,33,0,.,2,.,48,2,Ramb,
AA112006116352,2006116352,R6352,2011,36,0,.,1,.,,,Ramb,
AA112006116354,2006116354,R6354,2011,34,0,.,1,.,,,Ramb,
AA112006116364,2006116364,R6364,2011,35,0,PTH,2,.,,,Ramb,
AA112006116367,2006116367,R6367,2011,32,0,.,2,.,47,2,Ramb,
AA112006116376,2006116376,R6376,2011,33,0,PTH,2,.,50,2,Ramb,
AA112006116381,2006116381,R6381,2011,37,0,PTH,1,.,53,2,Ramb,
AA112006116394,2006116394,R6394,2011,38,0,.,2,.,,,Ramb,
AA112006116407,2006116407,R6407,2011,34,0,.,1,.,,,Ramb,
AA112006116415,2006116415,R6415,2011,38,0,.,2,.,,,Ramb,
AA112006116421,2006116421,R6421,2011,35,0,.,1,.,49,2,Ramb,
AA112006116422,2006116422,R6422,2011,35,0,.,2,.,,,Ramb,
AA112006116424,2006116424,R6424,2011,31,0,.,1,.,,,Ramb,
AA112006116425,2006116425,R6425,2011,31,0,PTH,2,.,50,2,Ramb,
AA112006116429,2006116429,R6429,2011,34,0,.,2,.,46,2,Ramb,
AA112006116436,2006116436,R6436,2011,38,0,.,1,.,49,2,Ramb,
AA112006116439,2006116439,R6439,2011,32,0,.,D,.,47,2,Ramb,
AA112006116444,2006116444,R6444,2011,31,0,.,1,.,,,Ramb,
AA112006116445,2006116445,R6445,2011,31,0,OVX,D,.,Ovx,O,Ramb,
AA112006116447,2006116447,R6447,2011,38,0,PTH,2,.,53,2,Ramb,
AA112006116451,2006116451,R6451,2011,38,0,.,2,.,,,Ramb,
AA112006116452,2006116452,R6452,2011,31,0,.,H,.,,,Ramb,
AA112006116463,2006116463,R6463,2011,37,0,.,,.,,,Ramb,
AA112006116465,2006116465,R6465,2011,34,0,PTH,2,.,53,2,Ramb,
AA112006116466,2006116466,R6466,2011,34,0,.,2,.,53,2,Ramb,
AA112006116468,2006116468,R6468,2011,36,0,.,2,.,49,2,Ramb,
AA112006116469,2006116469,R6469,2011,33,0,PTH,2,.,52,2,Ramb,
AA112006116473,2006116473,R6473,2011,33,0,PTH,2,.,51,2,Ramb,
AA112006116475,2006116475,R6475,2011,36,0,.,1,.,48,2,Ramb,
AA112006116476,2006116476,R6476,2011,37,0,PTH,1,.,48,2,Ramb,
AA112006116481,2006116481,R6481,2011,32,0,.,2,.,53,2,Ramb,
AA112006116482,2006116482,R6482,2011,32,0,.,2,.,53,2,Ramb,
AA112006116486,2006116486,R6486,2011,38,0,.,2,.,48,2,Ramb,
AA112006116491,2006116491,R6491,2011,33,0,.,2,.,47,2,Ramb,
AA112006116492,2006116492,R6492,2011,37,0,.,1,.,50,2,Ramb,
AA112006116502,2006116502,R6502,2011,34,0,.,2,.,53,2,Ramb,
AA112006116509,2006116509,R6509,2011,34,0,PTH,1,.,50,2,Ramb,
AA112006116511,2006116511,R6511,2011,35,0,.,,.,,,Ramb,
AA112006116512,2006116512,R6512,2011,33,0,.,1,.,,,Ramb,
AA112006116521,2006116521,R6521,2011,38,0,.,2,.,46,2,Ramb,
AA112006116528,2006116528,R6528,2011,38,0,PTH,2,.,52,2,Ramb,
AA112006116531,2006116531,R6531,2011,36,0,.,,.,,,Ramb,
AA112006116539,2006116539,R6539,2011,31,0,PTH,2,.,52,2,Ramb,
AA112006116540,2006116540,R6540,2011,34,0,.,1,.,50,2,Ramb,
AA112006116541,2006116541,R6541,2011,34,0,.,2,.,52,2,Ramb,
AA112006116547,2006116547,R6547,2011,34,0,PTH,H,.,50,2,Ramb,
AA112006116552,2006116552,R6552,2011,e22,0,PTH,2,.,46,2,Ramb,
AA112006116560,2006116560,R6560,2011,e21,0,.,1,.,,,Ramb,
AA112006116563,2006116563,R6563,2011,e22,0,.,2,.,53,2,Ramb,
AA112006116567,2006116567,R6567,2011,e22,0,PTH,2,.,,,Ramb,
AA112006116572,2006116572,R6572,2011,e21,0,.,2,.,49,2,Ramb,
AA112006116577,2006116577,R6577,2011,e22,0,.,2,.,,,Ramb,
AA112006116583,2006116583,R6583,2011,e22,0,.,D,.,,,Ramb,
AA112006116585,2006116585,R6585,2011,e22,0,PTH,2,.,53,2,Ramb,
AA112006116587,2006116587,R6587,2011,e22,0,.,H,.,,,Ramb,
AA112006116591,2006116591,R6591,2011,e22,0,.,D,.,,,Ramb,
AA112006116594,2006116594,R6594,2011,N.7,0,.,1,.,51,2,Ramb,
AA112006116602,2006116602,R6602,2011,e22,0,.,2,.,47,2,Ramb,
AA112006116608,2006116608,R6608,2011,e22,0,.,2,.,50,2,Ramb,
AA112006116617,2006116617,R6617,2011,N.3,0,PTH,1,.,,,Ramb,
AA112007116620,2007116620,R6620,2011,34,0,PTH,D,.,47,2,Ramb,Se10
AA112007116633,2007116633,R6633,2011,33,0,VAL,M,.,,,Ramb,
AA112007116641,2007116641,R6641,2011,32,0,.,H,.,,,Ramb,
AA112007116654,2007116654,R6654,2011,37,0,.,2,.,,,Ramb,Albmn
AA112007116675,2007116675,R6675,2011,33,0,VAL,1,.,V1,5,Ramb,Se10
AA112007116680,2007116680,R6680,2011,35,0,PTH,H,.,46,2,Ramb,
AA112007116713,2007116713,R6713,2011,35,0,PTH,2,.,,,Ramb,
AA112007116717,2007116717,R6717,2011,35,0,PTH,1,.,49,2,Ramb,Se10
AA112007116718,2007116718,R6718,2011,35,0,.,H,.,50,2,Ramb,
AA112007116724,2007116724,R6724,2011,36,0,PTH,2,.,,,Ramb,Se10
AA112007116725,2007116725,R6725,2011,32,0,PTH,D,.,46,2,Ramb,Se10
AA112007116728,2007116728,R6728,2011,33,0,.,,.,,,Ramb,Se10
AA112007116742,2007116742,R6742,2011,36,0,.,1,.,,,Ramb,
AA112007116743,2007116743,R6743,2011,35,0,.,1,.,,,Ramb,Albmn
AA112007116748,2007116748,R6748,2011,36,0,.,1,.,52,2,Ramb,Se10
AA112007116751,2007116751,R6751,2011,37,0,.,2,.,,,Ramb,
AA112007116758,2007116758,R6758,2011,37,0,.,D,.,,,Ramb,Se10
AA112007116762,2007116762,R6762,2011,33,0,VAL,H,.,,,Ramb,Se10
AA112007116771,2007116771,R6771,2011,31,0,.,1,.,47,2,Ramb,
AA112007116773,2007116773,R6773,2011,35,0,.,2,.,52,2,Ramb,
AA112007116778,2007116778,R6778,2011,34,0,PTH,1,.,,,Ramb,Se10
AA112007116780,2007116780,R6780,2011,32,0,.,2,.,50,2,Ramb,Se10
AA112007116784,2007116784,R6784,2011,31,0,PTH,2,.,,,Ramb,Se10
AA112007116820,2007116820,R6820,2011,32,0,.,2,.,,,Ramb,Se10
AA112007116826,2007116826,R6826,2011,37,0,.,2,.,,,Ramb,
AA112007116835,2007116835,R6835,2011,36,0,.,2,.,49,2,Ramb,Se10
AA112007116838,2007116838,R6838,2011,33,0,.,2,.,,,Ramb,Albmn
AA112007116839,2007116839,R6839,2011,33,0,VAL,H,.,V1,5,Ramb,
AA112007116841,2007116841,R6841,2011,32,0,PTH,1,.,52,2,Ramb,Se10
AA112007116866,2007116866,R6866,2011,31,0,PTH,2,.,,,Ramb,Se10
AA112007116870,2007116870,R6870,2011,31,0,PTH,D,.,49,2,Ramb,Se10
AA112007116876,2007116876,R6876,2011,37,0,.,2,.,53,2,Ramb,Se10
AA112007116879,2007116879,R6879,2011,33,0,VAL,2,.,V1,5,Ramb,
AA112007116886,2007116886,R6886,2011,31,0,.,2,.,,,Ramb,
AA112007116897,2007116897,R6897,2011,e13,0,.,1,.,,,Ramb,Albmn
AA112007116903,2007116903,R6903,2011,34,0,.,2,.,,,Ramb,
AA112007116915,2007116915,R6915,2011,31,0,.,2,.,53,2,Ramb,Albmn
AA112007116926,2007116926,R6926,2011,31,0,.,2,.,,,Ramb,Se10
AA112007116933,2007116933,R6933,2011,36,0,.,2,.,48,2,Ramb,Se10
AA112007116934,2007116934,R6934,2011,32,0,PTH,2,.,,,Ramb,
AA112007116935,2007116935,R6935,2011,32,0,.,H,.,,,Ramb,Se10
AA112007116939,2007116939,R6939,2011,37,0,.,2,.,51,2,Ramb,
AA112007116964,2007116964,R6964,2011,31,0,.,H,.,,,Ramb,
AA112007116971,2007116971,R6971,2011,34,0,PTH,D,.,,,Ramb,
AA112007116978,2007116978,R6978,2011,34,0,.,H,.,53,2,Ramb,Se10
AA112007116991,2007116991,R6991,2011,34,0,.,2,.,53,2,Ramb,
AA112007116993,2007116993,R6993,2011,37,0,.,1,.,46,2,Ramb,
AA112007116997,2007116997,R6997,2011,e12,0,.,2,.,50,2,Ramb,Se10
AA112007117006,2007117006,R7006,2011,31,0,PTH,D,.,48,2,Ramb,Se10
AA112007117029,2007117029,R7029,2011,e11,0,PTH,1,.,46,2,Ramb,Se10
AA112007117031,2007117031,R7031,2011,34,0,PTH,1,.,47,2,Ramb,Se10
AA112007117032,2007117032,R7032,2011,e12,0,.,2,.,,,Ramb,
AA112007117044,2007117044,R7044,2011,e15,0,.,1,.,51,2,Ramb,Se10
AA112007117052,2007117052,R7052,2011,e15,0,PTH,2,.,53,2,Ramb,Se10
AA112007117056,2007117056,R7056,2011,e14,0,PTH,1,.,46,2,Ramb,
AA112007117074,2007117074,R7074,2011,e15,0,.,H,.,49,2,Ramb,
AA112007117077,2007117077,R7077,2011,e12,0,.,H,.,46,2,Ramb,
AA112007117089,2007117089,R7089,2011,e15,0,PTH,1,.,49,2,Ramb,Se10
AA112007117091,2007117091,R7091,2011,e13,0,PTH,2,.,,,Ramb,Se10
AA112007117110,2007117110,R7110,2011,e15,0,PTH,1,.,53,2,Ramb,
AA112007117125,2007117125,R7125,2011,e13,0,PTH,1,.,,,Ramb,
AA112007117127,2007117127,R7127,2011,e13,0,.,1,.,,,Ramb,Se10
AA112008117133,2008117133,R7133,2011,R37,,.,1,,,,,
AA112008117135,2008117135,R7135,2011,R31,,.,H,,,,,
AA112008117136,2008117136,R7136,2011,R34,,.,1,,,,,Albmn
AA112008117142,2008117142,R7142,2011,R33,,.,2,,50,2,,Albmn
AA112008117145,2008117145,R7145,2011,R32,,.,2,,,,,
AA112008117153,2008117153,R7153,2011,R35,,.,1,,,,,Albmn
AA112008117156,2008117156,R7156,2011,R34,,.,2,,48,2,,
AA112008117158,2008117158,R7158,2011,R37,,.,1,,48,2,,
AA112008117160,2008117160,R7160,2011,R33,,.,2,,52,2,,Albmn
AA112008117164,2008117164,R7164,2011,R37,,.,1,,,,,
AA112008117168,2008117168,R7168,2011,R34,,.,2,,49,2,,
AA112008117172,2008117172,R7172,2011,R34,,.,2,,52,2,,Albmn
AA112008117175,2008117175,R7175,2011,R32,,.,H,,,,,
AA112008117181,2008117181,R7181,2011,R34,,.,D,,,,,
AA112008117184,2008117184,R7184,2011,R34,,.,1,,,,,Albmn
AA112008117186,2008117186,R7186,2011,R37,,.,2,,,,,Albmn
AA112008117190,2008117190,R7190,2011,R33,,.,2,,51,2,,
AA112008117194,2008117194,R7194,2011,R32,,.,2,,,,,
AA112008117204,2008117204,R7204,2011,R32,,.,D,,,,,Albmn
AA112008117210,2008117210,R7210,2011,R31,,.,1,,48,2,,Albmn
AA112008117211,2008117211,R7211,2011,R31,,.,2,,50,2,,Albmn
AA112008117215,2008117215,R7215,2011,R35,,.,2,,50,2,,
AA112008117216,2008117216,R7216,2011,R33,,.,2,,,,,
AA112008117229,2008117229,R7229,2011,R36,,.,2,,46,2,,Albmn
AA112008117238,2008117238,R7238,2011,R32,,.,2,,53,2,,Albmn
AA112008117253,2008117253,R7253,2011,R33,,.,2,,,,,
AA112008117264,2008117264,R7264,2011,R31,,.,1,,,,,
AA112008117266,2008117266,R7266,2011,R35,,.,1,,52,2,,Albmn
AA112008997267,2008997267,R7267,2011,R35,,.,2,,,,,
AA112008117274,2008117274,R7274,2011,R34,,.,2,,52,2,,
AA112008117275,2008117275,R7275,2011,R36,,.,1,,46,2,,
AA112008117277,2008117277,R7277,2011,R35,,.,1,,,,,
AA112008117278,2008117278,R7278,2011,R37,,.,H,,,,,Albmn
AA112008117282,2008117282,R7282,2011,R32,,.,D,,,,,
AA112008117283,2008117283,R7283,2011,R33,,.,2,,,,,
AA112008117291,2008117291,R7291,2011,R33,,.,1,,47,2,,
AA112008117301,2008117301,R7301,2011,R31,,.,2,,,,,
AA112008117302,2008117302,R7302,2011,R31,,.,2,,46,2,,Albmn
AA112008117308,2008117308,R7308,2011,R37,,.,1,,,,,
AA112008117313,2008117313,R7313,2011,R34,,.,2,,,,,
AA112008117322,2008117322,R7322,2011,R37,,.,1,,,,,
AA112008117324,2008117324,R7324,2011,R31,,.,1,,51,2,,
AA112008117335,2008117335,R7335,2011,R35,,.,H,,46,2,,
AA112008117336,2008117336,R7336,2011,R34,,.,D,,,,,Albmn
AA112008997337,2008997337,R7337,2011,R37,,.,2,,47,2,,
AA112008117341,2008117341,R7341,2011,R31,,.,2,,,,,Albmn
AA112008117353,2008117353,R7353,2011,R34,,,M,,,,,
AA112008117354,2008117354,R7354,2011,R34,,.,2,,,,,
AA112008117357,2008117357,R7357,2011,R36,,.,2,,,,,Albmn
AA112008997358,2008997358,R7358,2011,R31,,.,1,,46,2,,Albmn
AA112008117360,2008117360,R7360,2011,R36,,.,2,,47,2,,
AA112008117361,2008117361,R7361,2011,R33,,.,1,,,,,
AA112008117368,2008117368,R7368,2011,R36,,.,1,,53,2,,
AA112008117369,2008117369,R7369,2011,R33,,.,2,,53,2,,Albmn
AA112008117372,2008117372,R7372,2011,R36,,.,2,,,,,Albmn
AA112008117381,2008117381,R7381,2011,R32,,.,H,,48,2,,
AA112008117383,2008117383,R7383,2011,R37,,.,2,,,,,Albmn
AA112008117386,2008117386,R7386,2011,R31,,.,1,,,,,
AA112008117389,2008117389,R7389,2011,R31,,.,2,,,,,
AA112008117394,2008117394,R7394,2011,R31,,.,2,,,,,Albmn
AA112008117399,2008117399,R7399,2011,R37,,.,2,,,,,
AA112008117403,2008117403,R7403,2011,R37,,.,1,,52,2,,
AA112008117404,2008117404,R7404,2011,R37,,.,D,,,,,
AA112008117407,2008117407,R7407,2011,R33,,.,1,,50,2,,
AA112008117412,2008117412,R7412,2011,R31,,.,1,,47,2,,
AA112008117418,2008117418,R7418,2011,R36,,.,1,,,,,
AA112008117421,2008117421,R7421,2011,R33,,.,2,,,,,
AA112008117423,2008117423,R7423,2011,R36,,.,1,,,,,
AA112008117424,2008117424,R7424,2011,R35,,.,1,,,,,
AA112008117431,2008117431,R7431,2011,r.1,,.,2,,,,,
AA112008117432,2008117432,R7432,2011,r.5,,.,D,,,,,
AA112004450016,2004450016,T0016,2011,46T,0,.,D,.,,,Targ,
AA112004450095,2004450095,T0095,2011,42T,I,.,2,.,,,Ida,
AA112004450106,2004450106,T0106,2011,41T,I,.,2,.,,,Ida,
AA112004450134,2004450134,T0134,2011,62,0,SPG,2,.,,,Targ,
AA112004450199,2004450199,T0199,2011,e.4,0,.,,.,,,Targ,
AA112005450238,2005450238,T0238,2011,41T,7,.,H,L,,,Life,
AA112005450242,2005450242,T0242,2011,61T,0,SPG,,.,,,Targ,
AA112005450243,2005450243,T0243,2011,64T,7,SPG,D,L,,,Life,
AA112005450248,2005450248,T0248,2011,e.0,7,.,1,L,,,Life,
AA112005450253,2005450253,T0253,2011,65T,7,.,2,L,,,Life,
AA112005450291,2005450291,T0291,2011,e.1,0,SPG,H,.,,,Targ,
AA112005450304,2005450304,T0304,2011,41T,7,.,2,L,,,Life,
AA112005450313,2005450313,T0313,2011,63T,0,.,H,.,,,Targ,
AA112005450329,2005450329,T0329,2011,43T,7,.,1,L,,,Life,
AA112005450333,2005450333,T0333,2011,63T,0,.,2,.,,,Targ,
AA112005450344,2005450344,T0344,2011,64T,7,.,2,L,,,Life,
AA112005450358,2005450358,T0358,2011,e.0,7,.,1,L,,,Life,
AA112005450408,2005450408,T0408,2011,42T,I,.,D,.,,,Ida,
AA112005450417,2005450417,T0417,2011,61T,0,SPG,1,.,,,Targ,
AA112005450447,2005450447,T0447,2011,63T,7,.,2,L,,,Life,
AA112005450453,2005450453,T0453,2011,42T,7,.,H,L,,,Life,
AA112005450454,2005450454,T0454,2011,61T,0,.,2,.,27,1,Targ,
