id10,breed,etag,sex,first_seen_row
2020000122,00,Y0122,2,22PE01417
2019000134,00,Y0134,2,22PE01419
2020000150,00,Y0150,2,22PE01428
2020000319,00,Y0319,2,23PE01171
2020000329,00,Y0329,2,23PE01183
2019000314,00,Y0314,2,23PE01191
2021000340,00,Y0340,2,23PE01193
2021000307,00,Y0307,2,23PE01203
2021000306,00,Y0306,2,23PE01211
2019000317,00,Y0317,2,23PE01223
2021000309,00,Y0309,2,23PE01232
2020000311,00,Y0311,2,23PE01236
2019000338,00,Y0338,2,23PE01240
2020000318,00,Y0318,2,23PE01245
2021000326,00,Y0326,2,23PE01246
2020000312,00,Y0312,2,23PE01251
2019000337,00,Y0337,2,23PE01255
2020000341,00,Y0341,2,23PE01260
2019000313,00,Y0313,2,23PE01266
2021000331,00,Y0331,2,23PE01268
2020000315,00,Y0315,2,23PE01270
2020000332,00,Y0332,2,23PE01273
2020000321,00,Y0321,2,23PE01282
2020000322,00,Y0322,2,23PE01284
2020000324,00,Y0324,2,23PE01287
2021000327,00,Y0327,2,23PE01289
2020000336,00,Y0336,2,23PE01294
2021000342,00,Y0342,2,23PE01302
2020000320,00,Y0320,2,23PE01304
2020000308,00,Y0308,2,23PE01306
2021000325,00,Y0325,2,23PE01311
2020000335,00,Y0335,2,23PE01313
2021000330,00,Y0330,2,23PE01322
2021000316,00,Y0316,2,23PE01325
2020000323,00,Y0323,2,23PE01328
2020000310,00,Y0310,2,23PE01333
2021000328,00,Y0328,2,23PE01336
2021000333,00,Y0333,2,23PE01339
2019000334,00,Y0334,2,23PE01340
