id10,brd,sex
US82113470,11,1
US82119407,11,1
US82113231,11,1
US64119062,11,1
US82114805,11,1
US82113318,11,1
US82116119,11,1
US82117519,11,1
2009827224,82,1
US82118970,11,1
US82113427,11,1
US82119218,11,1
US64119481,11,1
US82115886,11,1
US82119418,11,1
US82115622,11,1
US82119217,11,1
US82119036,11,1
US82119052,11,1
US82119521,11,1
US82116480,11,1
US82119093,11,1
US64119472,11,1
US82119168,11,1
US82117812,11,1
US82115356,11,1
US82118695,11,1
US82115489,11,1
US82119515,11,1
US64115306,11,1
2008008639,00,1
US82119231,11,1
US82118946,11,1
US82119509,11,1
US82115711,11,1
US82116146,11,1
US82128188,12,1
US82119381,11,1
2009008641,00,1
US82116167,11,1
US64115158,11,1
US82129335,12,1
US82118381,11,1
US82116177,11,1
US82117700,11,1
2010453312,45,1
US82115825,11,1
US64116382,11,1
US82119566,11,1
US82118007,11,1
US82110346,11,1
US82116381,11,1
2008000345,00,1
US82112364,11,1
US82119211,11,1
US64119332,11,1
US82115222,11,1
US82117620,11,1
2009827415,82,1
US64119046,11,1
US82113054,11,1
US64115744,11,1
US82116010,11,1
US64116388,11,1
2009117651,11,1
US64115771,11,1
US64115835,11,1
US82116389,11,1
US82118920,11,1
US82117976,11,1
US82119415,11,1
US82115749,11,1
US64117567,11,1
US82117860,11,1
US82116415,11,1
US82119358,11,1
US82117964,11,1
US82115686,11,1
US64115033,11,1
US82117940,11,1
US82116147,11,1
US64117939,11,1
US82118013,11,1
US82117998,11,1
US82115180,11,1
US82119408,11,1
US82112771,11,1
US82119247,11,1
US82116100,11,1
2009117654,11,1
US82119063,11,1
2010828575,82,1
US82116048,11,1
US82117635,11,1
US82119510,11,1
US64119346,11,1
2011057260,05,1
US82119265,11,1
US64117728,11,1
US82117729,11,1
US82115813,11,1
2010828796,82,1
US82113124,11,1
US82117956,11,1
US64117491,11,1
US64117625,11,1
US82118167,11,1
2009117521,11,1
US82112821,11,1
US82118190,11,1
US82119747,11,1
US64114807,11,1
US82119417,11,1
2009008646,00,1
US82118274,11,1
US64115751,11,1
US82118031,11,1
US82113914,11,1
2010055687,05,1
2010829282,82,1
US82113259,11,1
US82115048,11,1
2008000179,00,1
US82117749,11,1
US82117837,11,1
US82113406,11,1
US82112359,11,1
US82117842,11,1
US82118268,11,1
US64118002,11,1
US64116306,11,1
US64115933,11,1
US82117819,11,1
2010828622,82,1
US64119525,11,1
US82117823,11,1
US11115109,11,1
US82113376,11,1
US82113008,11,1
US82113270,11,1
US82118499,11,1
US82118193,11,1
US82113255,11,1
US82112853,11,1
US82119095,11,1
US82116016,11,1
US82112470,11,1
US82112415,11,1
US82115603,11,1
US82115768,11,1
US82115752,11,1
US82113087,11,1
US82119020,11,1
US64116055,11,1
US82113415,11,1
US82118415,11,1
US82118982,11,1
US64118553,11,1
US82117786,11,1
US82115225,11,1
US82129501,12,1
US82115760,11,1
US64119565,11,1
US82116309,11,1
US64118461,11,1
US82117732,11,1
US64116018,11,1
US82119114,11,1
US82118986,11,1
US82119296,11,1
US82129507,12,1
US82119096,11,1
US82116438,11,1
US82118158,11,1
2010828804,82,1
US64130428,13,1
US82128947,12,1
US82128906,12,1
2009827486,82,1
US82129261,12,1
2010828755,82,1
2011700495,70,1
US82122849,12,1
2009827343,82,1
2011056777,05,1
2010700105,70,1
2012454439,45,1
US45122984,12,1
2011056587,05,1
2010453138,45,1
2010700139,70,1
2010828610,82,1
US82129431,12,1
2010453250,45,1
2011001458,00,1
2010453033,45,1
US64136709,13,1
2010828830,82,1
2012454543,45,1
US82128521,12,1
2011453862,45,1
2010700239,70,1
2010828836,82,1
US82128667,12,1
US82129538,12,1
2010055860,05,1
US64120358,12,1
US82126215,12,1
2010828671,82,1
2011056952,05,1
2010700107,70,1
US82120261,12,1
US05126982,12,1
US82128394,12,1
2010056005,05,1
US82128253,12,1
US64128243,12,1
2010118405,11,1
US82128529,12,1
US82126850,12,1
2010118294,11,1
US64120359,12,1
US82128236,12,1
US82130595,13,1
US82123252,12,1
US64128291,12,1
US82128133,12,1
US82129286,12,1
US82128459,12,1
US64128186,12,1
US82120446,12,1
US82128212,12,1
US82120575,12,1
US82128359,12,1
2011118751,11,1
US82128205,12,1
US82128941,12,1
US82120488,12,1
US82120553,12,1
2010453214,45,1
US82128590,12,1
US82120414,12,1
US82129411,12,1
US82128429,12,1
US82128403,12,1
2010453264,45,1
US83137124,13,1
2010453383,45,1
US64120230,12,1
US82128580,12,1
US64128240,12,1
US82120535,12,1
2010828729,82,1
2010453307,45,1
2010056258,05,1
US64120442,12,1
US82128517,12,1
US82120523,12,1
US82128336,12,1
US82129123,12,1
US82128490,12,1
US82128460,12,1
US82126584,12,1
US64128500,12,1
US83120515,12,1
US82128419,12,1
US82128407,12,1
US82125805,12,1
US82128937,12,1
US64128478,12,1
2010644706,64,1
US82126459,12,1
US82128131,12,1
US82128350,12,1
US70120306,12,1
US82128600,12,1
US82128416,12,1
US64126680,12,1
US64128501,12,1
US64120288,12,1
US82128364,12,1
US82120705,12,1
US82128578,12,1
US82126683,12,1
US82120239,12,1
US82128554,12,1
US82126015,12,1
US64128495,12,1
US82128342,12,1
US82128540,12,1
US82126573,12,1
US82127208,12,1
US82128349,12,1
US82129070,12,1
US82128249,12,1
US82127245,12,1
US82126672,12,1
US82129547,12,1
US82128661,12,1
US82120265,12,1
US82126807,12,1
US64126510,12,1
US82126878,12,1
US82128848,12,1
US82126848,12,1
US82126216,12,1
2010828596,82,1
US64128579,12,1
US82128150,12,1
2010118107,11,1
US82120586,12,1
US64128575,12,1
US82128273,12,1
US64120639,12,1
US64120574,12,1
US82128182,12,1
US82128299,12,1
US82126729,12,1
US82126650,12,1
US82128341,12,1
2010828686,82,1
US64120511,12,1
US82120426,12,1
2010452922,45,1
US82120687,12,1
US64127179,12,1
US82128284,12,1
US82120287,12,1
US82120583,12,1
US82120573,12,1
US83120609,12,1
US82129093,12,1
US64128670,12,1
US64120268,12,1
US82128397,12,1
US64128189,12,1
US82120369,12,1
US82120513,12,1
US82120676,12,1
US82126739,12,1
2010828670,82,1
US82120704,12,1
US82128576,12,1
US82128263,12,1
US82120449,12,1
US82120480,12,1
US82127299,12,1
US82120637,12,1
US64120531,12,1
US64128331,12,1
US82128688,12,1
US64126796,12,1
US82126921,12,1
US64120633,12,1
US82126751,12,1
US82120605,12,1
US82120503,12,1
US82127097,12,1
2010453469,45,1
US82120563,12,1
US82120317,12,1
US82126772,12,1
US64127133,12,1
US82120471,12,1
US64127270,12,1
US82126669,12,1
US82127082,12,1
US82128410,12,1
US64120662,12,1
US82120626,12,1
US82127006,12,1
US64127339,12,1
US82120621,12,1
US82128548,12,1
US82120546,12,1
US82120686,12,1
US11128962,12,1
US82120754,12,1
2012001454,00,1
US64128803,12,1
US82120619,12,1
US82120669,12,1
US82120316,12,1
US64120244,12,1
US82127186,12,1
US82120678,12,1
US64127331,12,1
US82127023,12,1
US82120665,12,1
US82120360,12,1
US64128703,12,1
US82120421,12,1
US82120712,12,1
US83120388,12,1
US82120566,12,1
US82120448,12,1
US82120572,12,1
US82128085,12,1
US82120683,12,1
US64120532,12,1
US82126597,12,1
US82120394,12,1
US64120685,12,1
US82120517,12,1
US82120420,12,1
US82120674,12,1
US82128800,12,1
US82120673,12,1
US64126727,12,1
US82120565,12,1
2010644612,64,1
US82120514,12,1
US82127143,12,1
US64129086,12,1
US64128720,12,1
US82129108,12,1
US82128980,12,1
US64127315,12,1
US82130445,13,1
US82126644,12,1
US82128691,12,1
US82120525,12,1
US82129033,12,1
US82120600,12,1
US82126634,12,1
US64128239,12,1
US82129297,12,1
US05137448,13,1
US70130667,13,1
2012001460,00,1
US70130296,13,1
US70130514,13,1
2011453748,45,1
US70130833,13,1
2010453158,45,1
2011001457,00,1
2011700341,70,1
2011057324,05,1
US83130963,13,1
US70130403,13,1
US70130556,13,1
US05137896,13,1
US70130787,13,1
2010055936,05,1
2011700492,70,1
US70130707,13,1
2012454524,45,1
2012454366,45,1
2012454198,45,1
2011453643,45,1
2012454375,45,1
2012454240,45,1
2010644648,64,1
US45133620,13,1
2011830053,83,1
2011829950,82,1
2012831286,83,1
2011007410,00,1
2011454034,45,1
US82138982,13,1
2011700524,70,1
US70130588,13,1
US83138692,13,1
2010828924,82,1
2011700476,70,1
US83130989,13,1
US82130654,13,1
2010056039,05,1
US82136917,13,1
2011057150,05,1
2011118988,11,1
2012001456,00,1
2012001455,00,1
2011057199,05,1
2011830206,83,1
