PREDICTEDID10,UID,DAYBRN,CLR,LBRD,CDNO,CUT,CUT_NML,DAM,CAUSE,DAYDIS,DISP,INBRL,LAMB,LINE,SEX,SIRE,STM,TB,US,YR
2011830323,11LA01926,91,1,83,1,Y,Y,H3143,93,168,3,0.000,Z0323,,3,K0000,33,5,US64113143,11
2011830324,11LA01927,91,5,83,1,N,N,K3936,,,,0.000,Z0324,,2,X7440,SC,8,,11
2011830325,11LA01928,91,5,83,2,N,N,K3936,,,,0.000,Z0325,,1,X7440,SC,8,,11
2011454052,11LA01929,91,1,45,1,N,N,T1695,,,,0.006,T4052,,1,T1609,2,8,,11
2011454053,11LA01930,91,1,45,2,N,N,T1695,,,,0.006,T4053,,1,T1609,2,8,,11
2011500128,11LA01931,91,5,50,1,Y,Y,H5769,,,,0.000,Y0128,,3,X0000,0,7,US82115769,11
D201157692,11LA01932,91,5,,2,Y,Y,H5769,44,91,1,0.000,,,2,X0000,,7,US82115769,11
2011056676,11LA01933,91,1,05,1,N,N,H3345,97,198,7,0.022,H6676,,2,H4663,30,8,,11
2011056677,11LA01934,91,1,05,2,N,N,H3345,,,,0.022,H6677,,2,H4663,30,8,,11
2011056678,11LA01935,91,1,05,1,Y,Y,H5323,,,,0.000,H6678,,2,H6533,30,8,,11
2011056679,11LA01936,91,1,05,2,Y,Y,H5323,14,120,6,0.000,H6679,,2,H6533,30,8,,11
2011830326,11LA01937,91,1,83,1,N,N,K4454,93,94,3,0.021,Z0326,,2,X6217,CM,5,,11
2011056680,11LA01938,91,1,05,1,N,N,H1490,,,,0.000,H6680,,2,H6529,30,8,,11
2011056681,11LA01939,91,1,05,2,N,N,H1490,1,125,6,0.000,H6681,,2,H6529,30,8,,11
2011118673,11LA01940,91,1,11,1,N,N,R5875,,,,0.016,R8673,,2,R7690,7,9,,11
2011118674,11LA01941,91,1,11,2,N,N,R5875,,,,0.016,R8674,,1,R7690,7,9,,11
2011118675,11LA01942,91,1,11,3,N,N,R5875,80,98,6,0.016,R8675,,2,R7690,7,9,,11
2011118676,11LA01943,91,1,11,1,N,N,R4559,,,,0.000,R8676,,2,R8640,7,8,,11
2011118677,11LA01944,91,1,11,2,N,N,R4559,42,93,6,0.000,R8677,,2,R8640,7,8,,11
2011830327,11LA01945,92,5,83,1,Y,Y,T3065,,,,0.000,Z0327,,2,,0,5,,11
2011454054,11LA01946,92,1,45,1,Y,Y,T2498,,,,0.061,T4054,,2,T1926,2,8,,11
2011454055,11LA01947,92,1,45,2,Y,Y,T2498,23,122,6,0.033,T4055,,3,T1926,2,8,,11
D201165171,11LA01948,92,1,,1,Y,Y,H6517,27,92,0,0.033,,,1,H4871,,0,,11
2011830328,11LA01949,92,1,83,1,Y,Y,H3407,93,92,3,0.000,Z0328,,3,K0000,33,9,US64113407,11
2011830329,11LA01950,92,1,83,2,Y,Y,H3407,93,99,3,0.000,Z0329,,2,K0000,33,9,US64113407,11
2011830330,11LA01951,92,1,83,3,Y,Y,H3407,93,92,3,0.000,Z0330,,2,K0000,33,9,US64113407,11
2011830331,11LA01952,92,2,83,1,N,N,X8514,,,,0.000,Z0331,,2,K4523,C3,5,,11
2011500130,11LA01953,92,5,50,1,Y,Y,H5926,,0,,0.000,Y0130,,2,X0000,0,5,US82115926,11
2011830332,11LA01954,92,5,83,1,N,N,X8812,,,,0.000,Z0332,,2,K4044,C3,5,,11
2011830333,11LA01955,92,5,83,1,Y,Y,T3194,23,97,6,0.000,Z0333,,2,,0,8,,11
2011830334,11LA01956,92,5,83,2,Y,Y,T3194,,,,0.000,Z0334,,3,,0,8,,11
2011830335,11LA01957,92,6,83,1,N,N,X8716,,,,0.062,Z0335,,1,X7709,97,5,,11
2011500131,11LA01958,92,5,50,1,Y,Y,H6369,19,126,6,0.000,Y0131,,2,X0000,0,8,US82116369,11
2011500132,11LA01959,92,5,50,2,Y,Y,H6369,,,,0.000,Y0132,,2,X0000,0,8,US82116369,11
2011500133,11LA01960,92,5,50,1,Y,Y,H5956,,,,0.000,Y0133,,2,X0000,0,5,US82115956,11
2011500134,11LA01961,92,1,50,1,Y,Y,H5900,,,,0.000,Y0134,,3,K0000,0,6,US64115900,11
D201159002,11LA01962,92,1,,2,Y,Y,H5900,27,92,0,0.000,,,1,K0000,,6,US64115900,11
2011830336,11LA01963,92,1,83,1,Y,Y,R7133,23,101,6,0.000,Z0336,,3,20333,R3,8,,11
2011830337,11LA01964,92,1,83,2,Y,Y,R7133,,,,0.000,Z0337,,3,20333,R3,8,,11
2011454056,11LA01965,92,1,45,1,N,N,T1622,42,102,6,0.005,T4056,,1,T1609,2,8,,11
2011454057,11LA01966,92,1,45,2,N,N,T1622,,,,0.005,T4057,,1,T1609,2,8,,11
2011056682,11LA01967,92,1,05,1,Y,Y,H4187,,,,0.000,H6682,,2,H6528,30,8,,11
2011056683,11LA01968,92,1,05,2,Y,Y,H4187,,,,0.000,H6683,,2,H6528,30,8,,11
2011830339,11LA01969,92,1,83,1,N,N,K3322,,,,0.017,Z0339,,2,X7419,CM,8,,11
2011830340,11LA01970,92,1,83,2,N,N,K3322,,,,0.017,Z0340,,2,X7419,CM,8,,11
2011500135,11LA01971,92,1,50,1,Y,Y,H6384,,,,0.000,Y0135,,3,X0000,0,5,US82116384,11
2011056684,11LA01972,92,1,05,1,Y,Y,H5476,,,,0.000,H6684,,3,H6530,30,8,,11
2011056685,11LA01973,92,1,05,2,Y,Y,H5476,,,,0.000,H6685,,2,H6530,30,8,,11
2011118678,11LA01974,92,1,11,1,Y,Y,R7744,,,,0.037,R8678,,2,R7912,7,5,,11
2011056686,11LA01975,92,1,05,1,Y,Y,H5872,,,,0.026,H6686,,2,H4871,30,5,,11
2011500136,11LA01976,92,2,50,1,Y,Y,R7618,,,,0.000,Y0136,,2,K0000,0,8,US64117618,11
2011500137,11LA01977,92,2,50,2,Y,Y,R7618,,,,0.000,Y0137,,3,K0000,0,8,US64117618,11
2011700502,11LA01978,92,5,70,1,N,N,X4999,,,,0.004,L0502,,3,X7276,PC,8,,11
2011700503,11LA01979,92,5,70,2,N,N,X4999,,,,0.004,L0503,,1,X7276,PC,8,,11
2011118679,11LA01980,92,1,11,1,Y,Y,R7136,85,117,6,0.000,R8679,,2,R8646,7,5,,11
2011500138,11LA01981,92,2,50,1,Y,Y,X8116,97,198,7,0.000,Y0138,,3,X0000,0,8,US82118116,11
2011500139,11LA01982,92,1,50,2,Y,Y,X8116,,,,0.000,Y0139,,3,X0000,0,8,US82118116,11
2011454058,11LA01983,92,1,45,1,Y,Y,T2472,21,99,6,0.014,T4058,,3,T2718,2,5,,11
2011056687,11LA01984,92,1,05,1,Y,Y,H5794,,,,0.026,H6687,,3,H5154,30,5,,11
2011700504,11LA01985,92,5,70,1,N,N,X7863,,,,0.006,L0504,,2,X6749,PC,5,,11
2011056688,11LA01986,92,1,05,1,N,N,H1123,23,120,6,0.048,H6688,,1,H5142,30,9,,11
2011056689,11LA01987,92,1,05,2,N,N,H1123,,,,0.048,H6689,,1,H5142,30,9,,11
2011056690,11LA01988,92,1,05,3,N,N,H1123,,,,0.048,H6690,,2,H5142,30,9,,11
2011454059,11LA01989,92,1,45,1,Y,Y,T2800,,,,0.037,T4059,,2,T2718,2,5,,11
2011118680,11LA01990,92,1,11,1,N,N,R6205,,,,0.000,R8680,,2,R8640,7,8,,11
2011118681,11LA01991,92,1,11,2,N,N,R6205,,,,0.000,R8681,,2,R8640,7,8,,11
2011056691,11LA01992,92,1,05,1,Y,Y,H6372,,,,0.014,H6691,,3,H4871,30,5,,11
2011500140,11LA01993,92,1,50,1,Y,Y,H5812,14,111,6,0.000,Y0140,,3,X0000,0,5,US82115812,11
2011056692,11LA01994,92,1,05,1,N,N,H3395,,,,0.034,H6692,,2,H5110,30,9,,11
2011056693,11LA01995,92,1,05,2,N,N,H3395,,,,0.034,H6693,,2,H5110,30,9,,11
2011056694,11LA01996,92,1,05,3,N,N,H3395,,,,0.034,H6694,,2,H5110,30,9,,11
2011700505,11LA01997,92,2,70,1,N,N,X8864,,,,0.010,L0505,,1,X7237,PC,5,,11
2011500141,11LA01998,92,1,50,1,Y,Y,R7836,,,,0.000,Y0141,,2,X0000,0,5,US82117836,11
2011500142,11LA01999,92,1,50,1,Y,Y,X8063,14,106,6,0.000,Y0142,,2,K0000,0,8,US64118063,11
2011500143,11LA02000,92,1,50,2,Y,Y,X8063,,,,0.000,Y0143,,2,K0000,0,8,US64118063,11
2011118682,11LA02001,92,1,11,1,N,N,R7056,,,,0.000,R8682,,2,R8641,7,8,,11
2011118683,11LA02002,92,1,11,2,N,N,R7056,,,,0.000,R8683,,1,R8641,7,8,,11
2011118684,11LA02003,92,1,11,1,N,N,R6407,,,,0.038,R8684,,1,R7912,7,9,,11
2011118685,11LA02004,92,1,11,2,N,N,R6407,85,123,6,0.038,R8685,,1,R7912,7,9,,11
2011118686,11LA02005,92,1,11,3,N,N,R6407,21,99,6,0.038,R8686,,3,R7912,7,9,,11
2011056695,11LA02006,92,1,05,1,Y,Y,H5193,93,92,3,0.054,H6695,,3,H4723,30,3,,11
2011056696,11LA02007,92,1,05,2,Y,Y,H5193,93,92,3,0.054,H6696,,2,H4723,30,3,,11
2011056697,11LA02008,92,1,05,3,Y,Y,H5193,93,92,3,0.054,H6697,,2,H4723,30,3,,11
D201151934,11LA02009,92,1,,4,Y,Y,H5193,44,92,1,0.054,,,2,H4723,,3,,11
D201144181,11LA02010,92,1,,1,N,N,R4418,44,92,1,0.039,,,1,R7654,,4,,11
D201144182,11LA02011,92,1,,2,N,N,R4418,44,92,1,0.039,,,2,R7654,,4,,11
D201127731,11LA02012,92,1,,1,Y,Y,T2773,44,92,1,0.009,,,1,T2566,,4,,11
D201127732,11LA02013,92,1,,2,Y,Y,T2773,44,92,1,0.009,,,2,T2566,,4,,11
2011830318,11LA02014,91,5,83,1,Y,Y,T3378,,,,0.000,Z0318,,2,,0,5,,11
2011500129,11LA02015,91,2,50,2,Y,Y,X8195,,,,0.000,Y0129,,3,X0000,0,8,US82118195,11
2011056698,11LA02016,92,1,05,1,Y,Y,H4003,,,,0.052,H6698,,2,H5142,30,5,,11
2011500144,11LA02017,92,2,50,1,Y,Y,H5767,,,,0.000,Y0144,,2,X0000,0,5,US82115767,11
2011830341,11LA02018,92,5,83,1,Y,Y,T2970,,,,0.000,Z0341,,2,,0,5,,11
2011830342,11LA02019,92,5,83,1,N,N,X5320,,,,0.000,Z0342,,1,K4233,CS,8,,11
2011830343,11LA02020,92,5,83,2,N,N,X5320,,,,0.000,Z0343,,2,K4233,CS,8,,11
2011830344,11LA02021,92,5,83,1,Y,Y,T3144,,,,0.000,Z0344,,3,,0,5,,11
2011056699,11LA02022,92,1,05,1,Y,Y,H6243,,,,0.044,H6699,,1,H5154,30,5,,11
