id10,sex,breed,etag,first_seen_row
2005051546,2,05,H1546,10PE00935
2005051665,2,05,H1665,10PE00936
2009055549,2,05,H5549,10PE00938
2004051194,2,05,H1194,10PE00940
2008053883,2,05,H3883,10PE00943
2009055484,2,05,H5484,10PE00944
2006052906,2,05,H2906,10PE00945
2009055272,2,05,H5272,10PE00948
2007053339,2,05,H3339,10PE00949
2004051261,2,05,H1261,10PE00952
2007053331,2,05,H3331,10PE00955
2009055541,2,05,H5541,10PE00957
2009055308,2,05,H5308,10PE00958
2007053051,2,05,H3051,10PE00959
2009054977,2,05,H4977,10PE00961
2009054845,2,05,H4845,10PE00962
2009055317,2,05,H5317,10PE00964
2009054843,2,05,H4843,10PE00966
2009054999,2,05,H4999,10PE00968
2009055071,2,05,H5071,10PE00969
2009054776,2,05,H4776,10PE00970
2009055229,2,05,H5229,10PE00971
2009117879,2,11,R7879,10PE00972
2006116481,2,11,R6481,10PE00973
2007116758,2,11,R6758,10PE00976
2008117351,2,11,R7351,10PE00978
2004114411,2,11,R4411,10PE00979
2007117077,2,11,R7077,10PE00981
2005115965,2,11,R5965,10PE00982
2008117275,2,11,R7275,10PE00984
2008117361,2,11,R7361,10PE00986
2006116465,2,11,R6465,10PE00987
2009117526,2,11,R7526,10PE00989
2008117335,2,11,R7335,10PE00990
2008117389,2,11,R7389,10PE00992
2007116977,2,11,R6977,10PE00994
2007116876,2,11,R6876,10PE00996
2006116266,2,11,R6266,10PE00998
2006116583,2,11,R6583,10PE00999
2006116436,2,11,R6436,10PE01000
2009117818,2,11,R7818,10PE01002
2008117360,2,11,R7360,10PE01003
2008117181,2,11,R7181,10PE01005
2008117160,2,11,R7160,10PE01007
2008117168,2,11,R7168,10PE01008
2009117726,2,11,R7726,10PE01010
2004115192,2,11,R5192,10PE01011
2008117337,2,11,R7337,10PE01014
2005115920,2,11,R5920,10PE01015
2006116227,2,11,R6227,10PE01017
2007116978,2,11,R6978,10PE01020
2006116502,2,11,R6502,10PE01023
2002113448,2,11,R3448,10PE01025
2001112541,2,11,R2541,10PE01027
2006116473,2,11,R6473,10PE01029
2004114412,2,11,R4412,10PE01030
2007116680,2,11,R6680,10PE01032
2008117336,2,11,R7336,10PE01034
2006116205,2,11,R6205,10PE01035
2005115634,2,11,R5634,10PE01036
2006116293,2,11,R6293,10PE01038
2002114006,2,11,R4006,10PE01040
2002113288,2,11,R3288,10PE01042
2008117220,2,11,R7220,10PE01045
2007116995,2,11,R6995,10PE01046
2002113535,2,11,R3535,10PE01047
2004114559,2,11,R4559,10PE01049
2002113484,2,11,R3484,10PE01051
2008117390,2,11,R7390,10PE01052
2007117091,2,11,R7091,10PE01054
2008117142,2,11,R7142,10PE01057
2008117357,2,11,R7357,10PE01059
2005115762,2,11,R5762,10PE01060
2006116339,2,11,R6339,10PE01063
2009117999,2,11,R7999,10PE01065
2006116451,2,11,R6451,10PE01066
2005115961,2,11,R5961,10PE01067
2004115007,2,11,R5007,10PE01069
2006116407,2,11,R6407,10PE01071
2006116260,2,11,R6260,10PE01073
2004114592,2,11,R4592,10PE01074
2003114155,2,11,R4155,10PE01076
2007116778,2,11,R6778,10PE01078
2008117324,2,11,R7324,10PE01079
2008117407,2,11,R7407,10PE01081
2005115724,2,11,R5724,10PE01083
2007116823,2,11,R6823,10PE01085
2008117412,2,11,R7412,10PE01088
2004115195,2,11,R5195,10PE01090
2007116718,2,11,R6718,10PE01092
2008117418,2,11,R7418,10PE01094
2005115695,2,11,R5695,10PE01095
2009117773,2,11,R7773,10PE01096
2002113338,2,11,R3338,10PE01098
2002113254,2,11,R3254,10PE01100
2007116939,2,11,R6939,10PE01103
2006116491,2,11,R6491,10PE01105
2007116770,2,11,R6770,10PE01108
2001112689,2,11,R2689,10PE01109
2005116012,2,11,R6012,10PE01110
2006116326,2,11,R6326,10PE01112
2007116826,2,11,R6826,10PE01114
2007117061,2,11,R7061,10PE01116
2007116654,2,11,R6654,10PE01118
2005115750,2,11,R5750,10PE01119
2008117135,2,11,R7135,10PE01120
2002113013,2,11,R3013,10PE01122
2006116521,2,11,R6521,10PE01124
2006116364,2,11,R6364,10PE01126
2009117537,2,11,R7537,10PE01130
2009117963,2,11,R7963,10PE01131
2004114277,2,11,R4277,10PE01132
2008117368,2,11,R7368,10PE01134
2004114742,2,11,R4742,10PE01136
2004114418,2,11,R4418,10PE01137
2005116096,2,11,R6096,10PE01139
2008117278,2,11,R7278,10PE01140
