ID10,YR,DAY,NOTE,UID,NOTEID
2012830978,15,365,SNOTTY.NOSE,15IN01038,NOTE15IN01038
2012830983,15,365,V.L.T.,15IN01040,NOTE15IN01040
2012830984,15,365,PLACENTITIS,15IN01041,NOTE15IN01041
2012830990,15,365,SNOTTY.NOSE,15IN01042,NOTE15IN01042
2012830997,15,365,1ST.70BL/GR,15IN01043,NOTE15IN01043
2012831000,15,365,1ST.4T,15IN01044,NOTE15IN01044
2012831008,15,365,80BLK,15IN01045,NOTE15IN01045
2012831011,15,365,RSDBLOODY,15IN01046,NOTE15IN01046
2012831016,15,365,NO.METAL.TAGS,15IN01047,NOTE15IN01047
2012831022,15,365,Xd,15IN01048,NOTE15IN01048
2012831042,15,365,NO.METAL.TAGS,15IN01050,NOTE15IN01050
2012831057,15,365,MYO AA,15IN01051,NOTE15IN01051
2012831061,15,365,4T.PINK.UGLY,15IN01052,NOTE15IN01052
2012831063,15,365,SRS.MORE.SNOT,15IN01053,NOTE15IN01053
2012831079,15,365,SNOTTY.NOSE,15IN01055,NOTE15IN01055
2012831088,15,365,In 10-25-13,15IN01056,NOTE15IN01056
2012831090,15,365,E1E,15IN01057,NOTE15IN01057
2012831102,15,365,20BLK,15IN01058,NOTE15IN01058
2012831114,15,365,4TEATS,15IN01059,NOTE15IN01059
2012831118,15,365,SNOTTY.NOSE,15IN01060,NOTE15IN01060
2012831124,15,365,Nice,15IN01061,NOTE15IN01061
2012831134,15,365,Alt. ID=Z1466,15IN01062,NOTE15IN01062
2012831144,15,365,LAMB SCOURS,15IN01063,NOTE15IN01063
2012831148,15,365,SNOT.RESPNOIS,15IN01064,NOTE15IN01064
2012831153,15,365,20BR.HAIRY,15IN01065,NOTE15IN01065
2012831156,15,365,BOvisIndHigh-,15IN01066,NOTE15IN01066
2012831183,15,365,NOMETALTAGS,15IN01067,NOTE15IN01067
2012831193,15,365,Ataxia/down,15IN01069,NOTE15IN01069
2012831225,15,365,L.T.V.LG,15IN01070,NOTE15IN01070
2012831226,15,365,1TagSickBag,15IN01071,NOTE15IN01071
2012831259,15,365,4T.50BLK,15IN01072,NOTE15IN01072
2012831282,15,365,Neoplasia,15IN01073,NOTE15IN01073
2012831283,15,365,SyncSemenColl,15IN01074,NOTE15IN01074
2012831285,15,365,4T.BL.R.EYE,15IN01075,NOTE15IN01075
2012831286,15,365,Wolf,15IN01076,NOTE15IN01076
2012831297,15,365,4T.P-EARS SCO,15IN01077,NOTE15IN01077
2012831371,15,365,SyncSemenColl,15IN01078,NOTE15IN01078
2012831399,15,365,BR.EAR.TIPS.E,15IN01079,NOTE15IN01079
2012831448,15,365,Missed'15Spwt,15IN01080,NOTE15IN01080
2013831473,15,365,RUPTURE.ARTHR,15IN01081,NOTE15IN01081
2013831475,15,365,SavedForCU,15IN01082,NOTE15IN01082
2013831488,15,365,SavedForCU,15IN01084,NOTE15IN01084
2013831490,15,365,Wolf,15IN01085,NOTE15IN01085
2013831492,15,365,25GR.REYEULCE,15IN01087,NOTE15IN01087
2013831500,15,365,2SIDESBLOODY,15IN01088,NOTE15IN01088
