ID10,DISP,YR
D202335382,0,23
D202332701,0,23
D202341641,0,23
D202390382,0,23
D202334081,0,23
D202334082,0,23
D202315581,0,23
D202315582,0,23
D202315583,0,23
D202333901,0,23
D202379601,0,23
D202379602,0,23
D202316181,0,23
D202324411,0,23
D202324412,0,23
D202324413,0,23
D202316152,0,23
D202320273,0,23
D202335531,0,23
D202335532,0,23
D202335262,0,23
D202326821,0,23
D202326822,0,23
D202334031,0,23
D202334032,0,23
D202334033,0,23
D202353481,0,23
D202300151,0,23
D202300152,0,23
D202305581,0,23
D202305582,0,23
D202333303,0,23
D202301032,0,23
D202301033,0,23
D202300252,0,23
D202329181,0,23
D202329182,0,23
D202378382,0,23
D202319873,0,23
D202332572,0,23
D202332981,0,23
D202332982,0,23
D202339941,0,23
D202331612,0,23
D202300633,0,23
D202323221,0,23
D202397542,0,23
D202304351,0,23
D202375791,0,23
D202396682,0,23
D202396683,0,23
D202391343,0,23
D202329392,0,23
D202329393,0,23
D202333912,0,23
D202344771,0,23
D202344772,0,23
D202320752,0,23
D202374732,0,23
D202374192,0,23
D202310982,0,23
D202336452,0,23
D202334392,0,23
D202375172,0,23
D202331591,0,23
D202316503,0,23
D202366311,0,23
D202323892,0,23
D202368583,0,23
D202322343,0,23
D202403861,0,24
D202419071,0,24
D202419072,0,24
D202450012,0,24
D202438681,0,24
D202418621,0,24
D202418622,0,24
D202418721,0,24
D202435281,0,24
D202435282,0,24
D202401883,0,24
D202406381,0,24
D202439411,0,24
D202419741,0,24
D202432191,0,24
D202483701,0,24
D202409511,0,24
D202408011,0,24
D202408012,0,24
D202404461,0,24
D202404462,0,24
D202436851,0,24
D202436852,0,24
D202499803,0,24
D202499804,0,24
D202446331,0,24
D202498951,0,24
D202498953,0,24
D202419281,0,24
D202419282,0,24
D202438191,0,24
D202438192,0,24
D202414051,0,24
D202414052,0,24
D202499441,0,24
D202499442,0,24
D202499443,0,24
D202451021,0,24
D202437901,0,24
D202455541,0,24
D202419971,0,24
D202419972,0,24
D202454502,0,24
D202446191,0,24
D202401151,0,24
D202418241,0,24
D202418242,0,24
D202442493,0,24
D202414932,0,24
D202419211,0,24
D202419811,0,24
D202404604,0,24
D202412342,0,24
D202446821,0,24
D202419001,0,24
D202419002,0,24
D202400161,0,24
D202433381,0,24
D202433382,0,24
D202426821,0,24
D202426823,0,24
D202429852,0,24
D202429853,0,24
D202472773,0,24
D202449081,0,24
D202449082,0,24
D202440891,0,24
D202445902,0,24
D202414451,0,24
D202418572,0,24
D202418573,0,24
D202474222,0,24
D202474223,0,24
D202450871,0,24
D202471613,0,24
D202422482,0,24
D202400724,0,24
D202414084,0,24
D202441452,0,24
D202408582,0,24
D202443812,0,24
D202410571,0,24
D202410572,0,24
D202424501,0,24
D202478183,0,24
D202506131,0,25
D202506132,0,25
D202520891,0,25
D202518532,0,25
D202509251,0,25
D202509252,0,25
D202503541,0,25
D202503542,0,25
D202503543,0,25
D202520571,0,25
D202544663,0,25
D202508443,0,25
D202524412,0,25
D202511922,0,25
D202555421,0,25
D202552091,0,25
D202501132,0,25
D202504621,0,25
D202504622,0,25
D202504623,0,25
D202521662,0,25
D202549812,0,25
D202578352,0,25
D202585511,0,25
D202521213,0,25
D202552532,0,25
