UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM,ID10,SIREID10,DAMID10
50LA00045,50,1,3136,1,414,10.6,0106,,1499,1,0,5,6,1,4,1,24,240,1,,0,,,,,,,11,,,,,11,,24,1,29,,84,,,104,91,1,1,1,1,10,1950-04-14,44,47,07,1950113136,1947910106,1944111499
50LA00046,50,1,,,412,8.6,2744,1,1516,1,21,4,6,1,4,1,23,230,1,1,0,,,0931,13,+,,11,,,,,11,,23,1,16,,0,,,102,11,1,1,2,0,0,1950-04-12,44,48,07,D195015161,1948112744,1944111516
50LA00047,50,1,,,412,8.8,2744,1,1516,1,21,4,6,1,4,1,23,230,2,1,0,,,,,,,11,,,,,11,,23,1,16,,0,,,102,11,1,1,2,0,0,1950-04-12,44,48,07,D195015162,1948112744,1944111516
50LA00048,50,1,3174,1,416,8.0,2377,1,1517,1,21,7,6,1,4,1,23,231,1,,0,,,,,,,11,,,,,11,,23,1,16,,72,,,106,11,1,1,2,1,10,1950-04-16,44,47,07,1950113174,1947112377,1944111517
50LA00049,50,,,,416,0.0,2377,1,1517,1,21,7,6,,4,,23,231,2,1,0,,,,,,,11,,,,,11,,23,1,16,,0,,,106,11,1,1,2,0,0,1950-04-16,44,47,07,D195015172,1947112377,1944111517
50LA00050,50,1,3091,1,410,11.0,2531,1,1523,1,16,5,6,1,5,1,20,200,1,,0,2,,,,,16,11,,,,,11,,20,1,09,,84,,,100,11,1,1,1,1,10,1950-04-10,44,48,07,1950113091,1948112531,1944111523
50LA00051,50,2,3131,1,413,10.0,2296,1,1527,1,31,5,6,1,1,1,19,190,1,2,0,,,,,,,11,,,,,11,,19,1,25,,0,,,103,11,1,1,1,1,0,1950-04-13,44,47,07,1950113131,1947112296,1944111527
50LA00052,50,2,3213,1,419,9.0,2296,1,1537,1,21,5,6,1,4,1,19,190,1,,0,,,,,,,11,,,,,11,,19,1,34,,71,,,109,11,1,1,1,1,10,1950-04-19,44,47,07,1950113213,1947112296,1944111537
50LA00053,50,2,3137,1,414,10.8,2377,1,1546,1,22,5,6,1,5,1,23,231,1,,0,,99,,,,,11,,,,,11,10,23,1,36,,66,,,104,11,1,1,1,1,10,1950-04-14,44,47,07,1950113137,1947112377,1944111546
50LA00054,50,1,,,413,11.4,2377,1,1568,1,19,1,6,1,4,,23,231,1,1,0,,,0962,13,+,,11,,,,,11,,23,1,17,,0,,,103,11,1,1,1,0,0,1950-04-13,44,47,07,D195015681,1947112377,1944111568
50LA00055,50,2,3279,1,427,12.2,0106,,1578,1,0,5,6,1,4,1,24,240,1,,0,,98,,,,,11,,,,,11,09,24,1,28,,72,,,117,91,1,1,1,1,10,1950-04-27,44,47,07,1950113279,1947910106,1944111578
50LA00056,50,2,3274,1,424,10.4,0110,,1604,1,0,8,6,1,4,1,34,340,1,6,0,,,,,,,11,,,,,11,,34,1,31,,0,,,114,91,1,1,2,1,0,1950-04-24,44,48,07,1950113274,1948910110,1944111604
50LA00057,50,1,3275,1,424,9.4,0110,,1604,1,0,8,6,1,4,2,34,340,2,,0,2,,,,,16,11,,,,,11,,34,1,31,,100,,,114,91,1,1,2,1,10,1950-04-24,44,48,07,1950113275,1948910110,1944111604
50LA00058,50,1,3249,1,422,12.0,2296,1,1609,1,16,5,6,1,4,1,19,190,1,,0,,,,,,,11,,,,,11,,19,1,15,,82,,,112,11,1,1,1,1,10,1950-04-22,44,47,07,1950113249,1947112296,1944111609
50LA00059,50,2,3244,1,421,11.0,2232,1,1616,1,27,5,6,3,4,2,27,270,1,,0,,,,,,,11,,,,,11,,27,1,23,,67,,,111,11,1,1,1,1,10,1950-04-21,44,47,07,1950113244,1947112232,1944111616
50LA00060,50,1,3252,1,422,9.0,0107,,1630,1,0,8,6,1,4,1,32,320,1,2,0,,,,,,,11,,,,,11,,32,1,14,,0,,,112,91,1,1,2,1,0,1950-04-22,44,47,07,1950113252,1947910107,1944111630
50LA00061,50,2,3253,1,422,9.2,0107,,1630,1,0,8,6,1,4,1,32,320,2,,0,,,,,,,11,,,,,11,,32,1,14,,71,,,112,91,1,1,2,1,10,1950-04-22,44,47,07,1950113253,1947910107,1944111630
50LA00062,50,1,3171,1,416,11.0,2740,1,1661,1,20,5,5,1,4,1,21,211,1,,0,,,,,,,11,,,,,11,,21,1,10,,69,,,106,11,1,1,1,1,10,1950-04-16,45,48,07,1950113171,1948112740,1945111661
50LA00063,50,1,3154,1,415,10.6,2296,1,1682,1,15,5,5,1,4,1,19,190,1,,0,,,,,,,11,,,,,11,,19,1,20,,48,,,105,11,1,1,1,1,10,1950-04-15,45,47,07,1950113154,1947112296,1945111682
50LA00064,50,1,3179,1,416,12.2,2232,1,1692,1,28,5,5,1,5,4,27,270,1,,0,,,,,,,11,,,,,11,,27,1,25,,100,,,106,11,1,1,1,1,10,1950-04-16,45,47,07,1950113179,1947112232,1945111692
50LA00065,50,2,3193,1,417,11.0,0110,,1701,1,0,5,5,4,4,1,34,340,1,,0,,,,,,,11,,,,,11,,34,1,19,,80,,,107,91,1,1,1,1,10,1950-04-17,45,48,07,1950113193,1948910110,1945111701
50LA00066,50,2,3139,1,414,10.0,2531,1,1704,1,25,5,5,1,4,1,20,200,1,,0,,,,,,,11,,,,,11,,20,1,12,,60,,,104,11,1,1,1,1,10,1950-04-14,45,48,07,1950113139,1948112531,1945111704
50LA00067,50,1,3127,1,413,11.0,0110,,1711,1,0,5,5,1,4,1,34,340,1,,0,,,,,,,11,,,,,11,,34,1,23,,74,,,103,91,1,1,1,1,10,1950-04-13,45,48,07,1950113127,1948910110,1945111711
50LA00068,50,2,3281,1,427,13.4,0110,,1713,1,0,5,5,1,4,1,34,340,1,,0,,,,,,,11,,,,,11,,34,1,25,,92,,,117,91,1,1,1,1,10,1950-04-27,45,48,07,1950113281,1948910110,1945111713
50LA00069,50,2,3071,1,408,13.4,0107,,1717,1,0,5,5,1,3,1,32,320,1,6,0,,,1012,13,+,,11,,,,,11,,32,1,15,,0,,,98,91,1,1,1,1,0,1950-04-08,45,47,07,1950113071,1947910107,1945111717
50LA00070,50,1,3257,1,422,9.2,2296,1,1718,1,16,5,5,1,3,1,19,190,1,7,230,,,,,,,11,,,,,11,,19,1,15,,0,,,112,11,1,1,1,1,0,1950-04-22,45,47,07,1950113257,1947112296,1945111718
50LA00071,50,1,3170,1,416,9.4,2531,1,1727,1,26,5,5,1,4,1,20,200,1,,0,,99,,,,,11,,,,,11,10,20,1,18,,77,,,106,11,1,1,1,1,10,1950-04-16,45,48,07,1950113170,1948112531,1945111727
50LA00072,50,1,3055,1,406,13.0,2232,1,1731,1,27,5,5,1,4,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,18,,101,,,96,11,1,1,1,1,10,1950-04-06,45,47,07,1950113055,1947112232,1945111731
50LA00073,50,1,3239,1,421,8.4,2232,1,1744,1,28,8,5,1,3,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,25,,82,,,111,11,1,1,2,1,10,1950-04-21,45,47,07,1950113239,1947112232,1945111744
50LA00074,50,2,3240,1,421,7.8,2232,1,1744,1,28,8,5,1,3,1,27,270,2,6,0,,,,,,,11,,,,,11,,27,1,25,,0,,,111,11,1,1,2,1,0,1950-04-21,45,47,07,1950113240,1947112232,1945111744
50LA00075,50,1,3121,1,413,9.2,2232,1,1745,1,28,8,5,1,2,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,25,,75,,,103,11,1,1,2,1,10,1950-04-13,45,47,07,1950113121,1947112232,1945111745
50LA00076,50,2,3122,1,413,6.8,2232,1,1745,1,28,8,5,1,2,1,27,270,2,2,0,,,,,,,11,,,,,11,,27,1,25,,0,,,103,11,1,1,2,1,0,1950-04-13,45,47,07,1950113122,1947112232,1945111745
50LA00077,50,1,3203,1,418,10.6,2232,1,1755,1,42,5,5,1,5,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,20,,73,,,108,11,1,1,1,1,10,1950-04-18,45,47,07,1950113203,1947112232,1945111755
50LA00078,50,1,3105,1,411,10.0,2531,1,1764,1,27,5,5,1,4,2,20,200,1,,0,2,,,,,16,11,,,,,11,,20,1,27,,78,,,101,11,1,1,1,1,10,1950-04-11,45,48,07,1950113105,1948112531,1945111764
50LA00079,50,2,3230,1,420,9.2,2232,1,1771,1,31,5,5,1,4,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,29,,67,,,110,11,1,1,1,1,10,1950-04-20,45,47,07,1950113230,1947112232,1945111771
50LA00080,50,1,3168,1,416,11.4,2744,1,1775,1,16,5,5,1,4,1,23,230,1,,0,1,99,,,,02,11,,,,,11,10,23,1,18,,79,,,106,11,1,1,1,1,10,1950-04-16,45,48,07,1950113168,1948112744,1945111775
50LA00081,50,,,,510,0.0,0110,,1792,1,0,,5,,,,34,340,1,,0,,,,,,,11,,-,,,11,,34,1,23,,0,,,130,91,1,0,0,0,0,1950-05-10,45,48,07,D195017921,1948910110,1945111792
50LA00082,50,,,,510,0.0,0106,,1799,1,0,,5,,,,24,240,1,,0,,,,,,,11,,-,,,11,,24,1,18,,0,,,130,91,1,0,0,0,0,1950-05-10,45,47,07,D195017991,1947910106,1945111799
50LA00083,50,2,3221,1,419,10.4,2296,1,1820,1,16,5,5,1,5,1,19,190,1,,0,,,,,,,11,,,,,11,,19,1,15,,70,,,109,11,1,1,1,1,10,1950-04-19,45,47,07,1950113221,1947112296,1945111820
50LA00084,50,2,3216,1,419,11.8,2232,1,1827,1,27,5,5,1,4,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,20,,74,,,109,11,1,1,1,1,10,1950-04-19,45,47,07,1950113216,1947112232,1945111827
50LA00085,50,2,3204,1,418,11.0,2232,1,1828,1,27,5,5,1,4,1,27,270,1,,0,,,,,,,11,,,,,11,,27,1,20,,71,,,108,11,1,1,1,1,10,1950-04-18,45,47,07,1950113204,1947112232,1945111828
50LA00086,50,1,3227,1,419,8.2,2232,1,1838,1,23,8,5,1,2,2,27,270,1,2,0,2,,,,,16,11,,,,,11,,27,1,10,,0,,,109,11,1,1,2,1,0,1950-04-19,45,47,07,1950113227,1947112232,1945111838
50LA00087,50,1,3228,1,419,10.2,2232,1,1838,1,23,8,5,1,2,1,27,270,2,,0,,,,,,,11,,,,,11,,27,1,10,,95,,,109,11,1,1,2,1,10,1950-04-19,45,47,07,1950113228,1947112232,1945111838
50LA00088,50,,,,406,0.0,2232,1,1839,1,23,0,5,,4,,27,270,1,0,0,,,0785,13,+,,11,,,,,11,,27,1,12,,0,,,96,11,1,1,1,0,0,1950-04-06,45,47,07,D195018391,1947112232,1945111839
50LA00089,50,,,,527,0.0,0106,,1847,1,0,,5,,,,24,240,1,,0,,,,,,,11,,-,,,17,,24,1,34,1,0,,,147,91,1,0,0,0,0,1950-05-27,45,47,07,D195018471,1947910106,1945111847
50LA00090,50,2,6517,3,527,11.6,0000,,1847,1,,5,5,1,4,1,00,240,1,,0,,,,,,,11,,,,,17,,24,0,34,2,69,07,,147,17,1,1,1,1,10,1950-05-27,45,48,07,1950176517,US17481847,1945111847
50LA00091,50,1,,,420,0.0,2296,1,1858,1,22,4,5,,2,,19,190,1,1,0,,,7647,60,+,,11,,,,,11,,19,1,15,,0,,,110,11,1,1,2,0,0,1950-04-20,45,47,07,D195018581,1947112296,1945111858
50LA00092,50,2,,,420,0.0,2296,1,1858,1,22,4,5,,2,,19,190,2,1,0,,,,,,,11,,,,,11,,19,1,15,,0,,,110,11,1,1,2,0,0,1950-04-20,45,47,07,D195018582,1947112296,1945111858
50LA00093,50,1,3192,1,417,12.2,2744,1,1860,1,16,5,5,1,4,4,23,230,1,,0,2,,,,,16,11,,,,,11,,23,1,10,,85,,,107,11,1,1,1,1,10,1950-04-17,45,48,07,1950113192,1948112744,1945111860
50LA00094,50,2,3084,1,410,9.2,2531,1,1872,1,26,5,5,3,4,1,20,200,1,,0,0,,,,,47,11,,,,,11,,20,1,12,,67,,,100,11,1,1,1,1,10,1950-04-10,45,48,07,1950113084,1948112531,1945111872
50LA00095,50,2,3184,1,417,10.6,2377,1,1874,1,19,5,5,1,4,1,23,231,1,,0,,,,,,,11,,,,,11,,23,1,17,,69,,,107,11,1,1,1,1,10,1950-04-17,45,47,07,1950113184,1947112377,1945111874
50LA00096,50,1,3263,1,423,8.8,2377,1,1876,1,16,8,5,1,2,1,23,231,1,,0,,,,,,,11,,,,,11,,23,1,10,,67,,,113,11,1,1,2,1,10,1950-04-23,45,47,07,1950113263,1947112377,1945111876
50LA00097,50,2,3264,1,423,9.2,2377,1,1876,1,16,8,5,1,2,1,23,231,2,2,0,,,,,,,11,,,,,11,,23,1,10,,0,,,113,11,1,1,2,1,0,1950-04-23,45,47,07,1950113264,1947112377,1945111876
50LA00098,50,1,3052,1,406,7.4,2232,1,1878,1,30,5,5,1,4,1,27,270,1,6,0,,,0810,13,+,,11,,,,,11,,27,1,28,,0,,,96,11,1,1,1,1,0,1950-04-06,45,47,07,1950113052,1947112232,1945111878
50LA00099,50,1,3273,1,424,10.6,2594,1,1896,1,21,5,5,1,4,1,21,210,1,6,0,,,,,,,11,,,,,11,10,21,1,15,,0,,,114,11,1,1,1,1,0,1950-04-24,45,48,07,1950113273,1948112594,1945111896
50LA00100,50,2,3201,1,418,8.2,2531,1,1898,1,28,5,5,1,3,1,20,200,1,,0,,,,,,,11,,,,,11,,20,1,28,,58,,,108,11,1,1,1,1,10,1950-04-18,45,48,07,1950113201,1948112531,1945111898
50LA00101,50,1,3280,1,427,13.0,0107,,1901,1,0,5,5,1,4,1,32,320,1,,0,,99,,,,,11,,,,,11,10,32,1,22,,82,,,117,91,1,1,1,1,10,1950-04-27,45,47,07,1950113280,1947910107,1945111901
50LA00102,50,2,3205,1,418,9.8,2531,1,1903,1,28,5,5,1,4,1,20,200,1,,0,2,,,,,16,11,,,,,11,,20,1,26,,68,,,108,11,1,1,1,1,10,1950-04-18,45,48,07,1950113205,1948112531,1945111903
