CARD_UID,DAMID10,SIREID10,LAMB_IDS,LITTER_SIZE,TB,MILK,PEN,DATEBN,DAYBN,Y1,Y2,Y3,Y4,Y5,YEAR
LC_1950_1946112127,1946112127,1948910110,1950113149|1950113150,2,8,3,340,1950-04-15,105,1,1,2,1,10,1950
LC_1950_1946112129,1946112129,1948112531,1950113049,1,5,2,200,1950-04-05,95,1,1,1,1,0,1950
LC_1950_1946112131,1946112131,1948112531,1950113270,1,5,3,200,1950-04-24,114,1,1,1,1,10,1950
LC_1950_1946112135,1946112135,1947112296,1950113085|1950113086,2,8,2,190,1950-04-10,100,1,1,2,1,10,1950
LC_1950_1946112146,1946112146,1947112296,1950113272,1,5,2,190,1950-04-24,114,1,1,1,1,0,1950
LC_1950_1946112153,1946112153,1947112232,1950113146|1950113147,2,8,4,270,1950-04-14,104,1,1,2,1,0,1950
LC_1950_1946112156,1946112156,1947910106,1950113109,1,5,4,240,1950-04-12,102,1,1,1,1,10,1950
LC_1950_1946112173,1946112173,1947112232,1950113231|1950113232,2,8,4,270,1950-04-20,110,1,1,2,1,10,1950
LC_1950_1946112186,1946112186,1947112377,1950113197|1950113198,2,8,3,231,1950-04-17,107,1,1,2,1,0,1950
LC_1950_1946112202,1946112202,1947112296,1950113070,1,5,3,190,1950-04-08,98,1,1,1,1,10,1950
