UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLWT_RATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,BOVIS,LIB,LIBING,FERT,LOT,NAX,LIM,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
00RA00046,91390,09,99,1,00,07,L35,L,1,1,4.0,Y,151,92,92,0.891,149,149,69,0.215,2.2,2.9,62,5.4,7.0,0.0,20.47,4.1,20.0,70,1,,3-,1.75,86.5,S8152,10,S6479,10,182,193,0.286,1.0,,3,LIM,80,89,,S0,B,0.0,,,,,,,,,,,0,,4,7,6,2000
00RA00047,91399,09,99,1,68,06,L04,L,2,1,6.0,Y,151,77,92,0.728,131,131,69,0.204,2.2,2.9,60,4.8,6.2,0.0,23.05,5.26,22.8,62,1,,4+,1.79,98.3,K9660,63,K6937,63,154,193,0.244,1.0,SICK,3,LIM,79,77,,,,0.0,,,,,,,,,,,0,,5,11,7,2000
00RA00048,91402,09,99,1,00,07,L35,L,3,1,3.0,Y,152,84,91,0.813,144,144,69,0.226,2.1,2.8,62,4.8,6.2,0.0,19.52,4.4,22.6,70,1,,3,1.84,83.7,S8152,10,S7018,10,172,193,0.279,1.0,,3,LIM,76,84,,S2,AA,0.0,,,,,,,,,,,0,,3,5,3,2000
00RA00049,A4142,04,97,1,00,71,ai0,F,3,2,2.0,M,104,85,114,0.668,210,150,71,0.222,3.9,3.9,48,10.4,10.4,0.0,36.59,8.68,23.7,40,2,1,1,2.37,144.4, 0283,00,A2097,04,233,193,0.249,3.0,RAM      EFxP,1,FxP,,,-,S4,AAA,0.0,e.6,,,CL,35,3,,10,S,,0,,2,5,4,2000
00RA00050,A4203,04,97,1,00,71,ai0,F,2,2,7.0,M,105,94,113,0.704,234,185,71,0.311,3.6,3.6,56,7.4,7.4,0.0,30.89,5.15,16.7,50,2,1,1-,1.79,112.5, 0214,00,L7754,03,270,193,0.32,3.0,RAM      EFxP,1,FxP,,,-,S2,AA,0.0,e.7,,,CL,30,3,,0,S,,0,,6,11,8,2000
00RA00051,A4328,04,97,1,81,30,02,M,2,2,8.0,M,107,91,112,0.713,221,151,71,0.205,3.2,3.2,60,10.6,10.6,0.048,25.91,4.72,18.2,58,1,1,2+,2.25,151.5,A2096,04,L7144,03,255,193,0.223,3.0,NICE,2,LWW,103,103,-,S4,AAA,100.0,113,,,,,,,,,,5,_____,8,18,15,2000
00RA00052,A4528,04,97,1,81,30,03,M,2,2,4.0,M,113,88,105,0.717,244,176,71,0.3,4.3,4.3,58,10.0,10.0,0.041,28.08,4.38,15.6,54,1,1,2+,2.48,157.2,A2146,04,A1082,04,277,193,0.325,3.0,,2,LWW,111,108,-,S1,A,100.0,112,,,,,,,,,,5,_____,4,10,9,2000
00RA00053,A4800,04,97,2,73,30,7,L,2,2,8.5,M,239,81,104,0.671,192,149,71,0.405,4.1,4.1,60,11.4,11.4,0.0594,24.39,4.89,20.0,60,2,1,1-,1.88,99.3,A2678,04,L5288,03,224,193,0.413,2.5,,3,-FL,97,129,,S3,AA,0.0,e.8,,,,,,,,,,0,,7,15,12,2000
00RA00054,A4815,04,97,2,73,30,9,L,2,2,7.5,M,240,71,103,0.612,205,151,71,0.476,3.5,3.5,56,10.6,10.6,0.0517,29.68,5.14,17.3,50,1,1,2,1.86,89.6,A2751,04,L7297,03,231,193,0.469,2.5,,3,-FL,95,114,,S0,B,0.0,,,,,,,,,,,0,,7,13,11,2000
00RA00055,A4849,04,97,2,73,30,4,H,3,2,4.5,M,241,78,102,0.655,213,150,71,0.429,3.2,3.2,60,10.0,10.0,0.0469,26.23,4.8,18.3,58,1,1,1-,2.07,116.6,A2652,04,A1637,04,240,193,0.432,2.5,,2,-FL,106,110,-,S5,AAA,87.1,111,,,,,,,,,,4,_____,4,7,7,2000
