UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,DEC6,YRREC
95RA00454,T4181,44,94,1,42,02,912,C,2,2,6.0,1,107,69,114,0.528,123,123,79,0.189,2.6,58,4.6,67.9,3.1,23.32,62,2,1,3-,1.36,61.6,T3291,44,0.0,1.75,T9869,43,-2.08,-1.18,143,191,0.221,1.0,M_IDX,3,CTL,-2.08,0.29,78,98,W,S1,A,,,,,,,,,,,,,1995
95RA00455,T4201,44,94,1,41,02,414,M,2,2,8.0,1,108,73,113,0.539,136,136,79,0.22,2.6,60,6.1,67.4,4.1,21.22,64,1,1,2-,2.25,132.8,T2601,44,0.0,20.29,T8210,43,20.68,21.55,164,191,0.272,1.0,HI.EWE RECORD,1,LBW,20.68,20.92,132,115,W,S1,A,,,W,75,4,95,0,E,,,,Inkom,1995
95RA00456,T4202,44,94,1,41,02,414,M,2,2,8.0,1,108,68,113,0.488,144,144,79,0.266,2.8,60,6.6,65.8,4.3,21.79,64,1,1,2,2.25,132.8,T2601,44,0.0,20.29,T8210,43,20.68,21.55,175,191,0.319,1.0,HI.EWE RECORD,1,LBW,20.68,20.92,136,120,W,S3,AA,82.0,413,C,60,3,90,0,E,,,,Inkom,1995
95RA00457,T4207,44,94,1,ch,01,-0,c,2,2,5.0,1,109,85,112,0.663,157,157,79,0.252,0.0,64,6.6,,,0.0,,,2,,1.57,121.3,S1497,10,24.32,0.0,T0689,44,22.87,27.05,197,191,0.334,1.0,4TEATS,L,,23.6,27.05,,,,S6,AAA,,,,,,,,,,,,,1995
95RA00458,T4208,44,94,1,41,02,413,M,2,2,2.0,1,109,76,112,0.58,128,128,79,0.182,2.9,60,6.1,57.5,3.5,21.99,64,2,1,3,1.13,69.4,T2654,44,0.0,18.63,T2715,44,10.48,8.75,166,191,0.269,1.0,,2,LBW,10.48,13.69,102,108,W,S0,B,,169,,,,,,,YES,N,,,1995
95RA00459,T4217,44,94,1,41,02,412,M,2,2,4.0,2,110,77,112,0.589,140,140,79,0.221,2.6,60,6.2,59.1,3.7,20.89,64,1,1,3,1.51,103.2,T3116,44,0.0,32.27,T1371,44,15.58,17.97,182,191,0.314,1.0,4TEATS,2,LBW,15.58,25.12,112,109,W,S2,AA,,161,,,,,,,YES,R,60312,,1995
95RA00460,T4237,44,94,1,ch,01,-2,c,2,2,4.0,2,110,69,112,0.513,130,130,79,0.214,0.0,60,5.7,,,0.0,,,1,,1.67,118.8,S1878,10,0.0,0.0,T1332,44,18.89,22.32,153,191,0.251,1.0,4TEATS,L,,18.89,22.32,,,,S3,AA,,,,,,,,,,,,,1995
95RA00461,T4238,44,94,1,ch,01,-2,c,2,2,4.0,2,110,75,112,0.555,143,143,79,0.239,0.0,60,6.8,,,0.0,,,1,,1.67,118.8,S1878,10,0.0,0.0,T1332,44,18.89,22.32,174,191,0.296,1.0,,L,,18.89,22.32,,,,S2,AA,,UTE,,,,,,,,,,,1995
95RA00462,T4244,44,94,1,ch,32,-0,h,1,1,4.0,2,111,100,111,0.761,158,158,79,0.204,0.0,62,6.9,,,0.0,,,1,,1.34,75.4,L6868,03,0.0,10.31,T1486,44,-1.19,2.77,198,191,0.293,1.0,NEED BIG TAG,L,,-1.19,6.54,,,,S3,AA,,,,,,,,,,,,,1995
95RA00463,T4251,44,94,1,ch,01,-0,c,2,2,4.0,2,110,68,112,0.491,142,142,79,0.26,0.0,60,6.0,,,0.0,,,1,,1.67,112.8,S1878,10,0.0,0.0,T1284,44,17.3,19.77,178,191,0.329,1.0,,L,,17.3,19.77,,,,D3,DUD,,,,,,,,,,,,,1995
