UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,FLGR,FLWT,YLD,CLFL,MICRON,STD,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,EBVLWW_SIR,EBVSIR95,DAM,DBRD,EBVLWW_DAM,EBVDAM95,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,EBVLWW,EBVLWW95,M_IDX,F_IDX,WRK,LIB,LIBING,FERT,LOT,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC
96RA00514,T4759,44,95,1,41,02,411,M,2,2,4.0,Y,103,87,118,0.65,146,146,74,0.2,2.7,62,5.8,,,22.1,3.42,62,1,1,2,1.53,118.2,T3957,44,17.0,17.0,T2241,44,19.54,19.54,180,191,0.278,1.0,,2,LBW,18.27,18.27,114,94,,S0,B,0.0,173,,,,,,,yes,N,,,,0,1996
96RA00515,T4760,44,95,1,41,02,411,M,2,2,4.0,Y,103,83,118,0.61,130,130,74,0.159,2.8,62,5.8,,,22.1,4.15,62,1,1,3+,1.53,118.2,T3957,44,17.0,17.0,T2241,44,19.54,19.54,164,191,0.242,1.0,,2,LBW,18.27,18.27,114,96,,S0,B,0.0,174,,,,,,,yes,N,,,,0,1996
96RA00516,T4723,44,95,1,42,02,912,C,1,1,2.0,Y,101,85,118,0.627,146,146,74,0.205,2.8,62,7.0,,,20.52,3.65,70,2,1,2+,1.19,84.2,T3845,44,-0.92,-0.92,T4125,44,3.27,3.27,170,191,0.252,1.0,only 3 /sire,1,CTL,1.17,1.17,91,105,,S3,AA,0.0,912,C,60,3,25,0,S,,,,,,0,1996
96RA00517,T4725,44,95,1,42,02,852,C,2,2,8.0,Y,101,76,120,0.518,118,118,74,0.142,2.9,58,6.8,,,22.3,4.65,62,1,1,4-,1.88,119.9,T3900,44,0.18,0.18,T8923,43,7.96,7.96,139,191,0.188,1.0,4- FACE (5+?),3,CTL,4.07,4.07,116,102,,D4,DUD,0.0,LIB,,,,,,,,,,,,0,1996
96RA00518,T4770,44,95,1,41,02,411,M,2,2,5.0,Y,104,78,115,0.57,148,148,74,0.236,3.7,58,7.0,,,22.43,4.45,62,2,1,3,1.59,113.1,T3957,44,17.0,17.0,T1029,44,21.43,21.43,176,191,0.291,1.0,,1,LBW,19.21,19.21,115,112,,S4,AAA,0.0,LISA,C,75,4,10,0,E,,,,,,0,1996
96RA00519,T4777,44,95,1,42,02,862,C,1,1,2.0,Y,104,95,117,0.686,153,153,74,0.197,3.2,58,8.8,,,25.96,5.43,58,2,1,2-,1.19,78.9,T3959,44,-4.28,-4.28,T4012,44,0.62,0.62,186,191,0.272,1.0,DUD,2,CTL,-1.83,-1.83,100,118,,D4,DUD,0.0,LIB,,,,,,,NO,N,,,,0,1996
96RA00520,T5112,44,95,1,42,02,812,C,1,1,4.0,Y,121,75,100,0.639,115,115,74,0.136,2.2,62,4.6,,,19.45,3.67,70,2,1,3,1.27,89.2,T3888,44,-3.28,-3.28,T2206,44,6.19,6.19,146,191,0.212,1.0,"X FLWT,SHORT",3,CTL,1.45,1.45,88,80,,D4,DUD,0.0,LIB,,,,,,,,,,,,0,1996
96RA00521,T5119,44,95,1,ch,00,J06,h,1,1,1.0,Y,123,87,103,0.72,153,153,74,0.228,0.0,60,6.4,,,0.0,0.0,,,1,,1.5,101.0,A1297,04,0.0,0.0,T4396,44,0.0,0.0,184,191,0.294,1.0,BRN EARS,1,,0.0,0.0,,,,S0,B,0.0,,,,,,,,,,,,,0,1996
96RA00522,T5105,44,95,1,ch,00,J10,h,2,1,1.0,Y,119,77,107,0.615,132,132,74,0.19,0.0,60,4.4,,,0.0,0.0,,,1,,1.0,42.5,A0987,04,0.0,0.0,T4228,44,0.0,0.0,162,191,0.258,1.0,,1,,0.0,0.0,,,,S1,A,0.0,,,,,,,,,,,,,0,1996
96RA00523,T5106,44,95,1,ch,00,J03,c,1,1,1.0,Y,120,72,106,0.589,130,130,74,0.2,0.0,60,5.4,,,0.0,0.0,,,2,,0.5,40.0,T4367,44,0.0,0.0,T4379,44,0.0,0.0,162,191,0.273,1.0,,1,,0.0,0.0,,,,S3,AA,0.0,,,,,,,,,,,,,0,1996
96RA00524,T5130,44,95,1,ch,00,J05,h,1,1,1.0,Y,125,72,101,0.598,134,134,74,0.214,0.0,58,6.6,,,0.0,0.0,,,1,,1.0,98.5,A1264,04,0.0,0.0,T4342,44,0.0,0.0,154,191,0.248,1.0,ENTR*2,1,,0.0,0.0,,,,S6,AAA,0.0,,,,,,,,,,,,,0,1996
96RA00525,T5142,44,95,1,42,02,872,C,1,1,8.0,Y,128,76,93,0.665,144,144,74,0.231,2.5,62,4.6,,,19.46,3.29,70,1,1,3+,1.63,79.9,T3964,44,-4.78,-4.78,T9272,43,4.59,4.59,165,191,0.266,1.0,only 1 /sire,1,CTL,-0.09,-0.09,84,84,,S3,AA,0.0,872,C,55,3,10,0,S,,,,,,0,1996
96RA00526,T5120,44,95,1,42,02,802,C,1,1,2.0,Y,124,73,97,0.61,130,130,74,0.193,2.8,60,5.6,,,22.63,4.22,62,2,1,3-,1.33,87.1,T4049,44,3.18,3.18,T4130,44,2.64,2.64,153,191,0.239,1.0,LIB MOUNT,3,CTL,2.91,2.91,86,92,,S1,A,0.0,LIB,,,,,,,,,,,,0,1996
96RA00527,T5125,44,95,1,ch,00,J07,h,2,1,1.0,Y,125,68,101,0.594,122,122,74,0.186,0.0,60,4.4,,,0.0,0.0,,,1,,1.5,86.0,T4353,44,0.0,0.0,T4343,44,0.0,0.0,156,191,0.267,1.0,,1,,0.0,0.0,,,,S3,AA,0.0,,,,,,,,,,,,,0,1996
96RA00528,T5127,44,95,1,42,02,822,C,1,1,3.0,Y,125,69,96,0.611,134,134,74,0.22,3.0,58,6.2,,,23.08,4.16,62,2,1,2,1.24,75.4,T3807,44,-0.96,-0.96,T2641,44,2.78,2.78,161,191,0.275,1.0,only 1 /sire,1,CTL,0.91,0.91,88,98,,S0,B,0.0,822,C,60,3,25,0,S,,,,,,0,1996
96RA00529,T5013,44,95,1,ch,01,  2,c,3,1,5.0,Y,111,81,115,0.596,127,127,74,0.159,0.0,64,7.2,,,0.0,0.0,,,1,,1.49,99.8,S1878,10,0.0,0.0,T1284,44,19.77,19.77,161,191,0.242,1.0,BLK SPOT ?LOC,1,,9.88,9.88,,,,S2,AA,0.0,,,,,,,,,,,,,0,1996
96RA00530,T5015,44,95,1,ch,01,  2,c,3,2,5.0,Y,111,76,115,0.57,132,132,74,0.193,0.0,62,6.4,,,0.0,0.0,,,1,,1.49,99.8,S1878,10,0.0,0.0,T1284,44,19.77,19.77,155,191,0.239,1.0,,1,,9.88,9.88,,,,S4,AAA,0.0,,,,,,,,,,,,,0,1996
96RA00531,T5003,44,95,1,ch,01,  2,h,2,2,5.0,Y,111,70,115,0.49,152,152,74,0.283,0.0,60,5.8,,,0.0,0.0,,,1,,1.49,76.7,S1908,10,0.0,0.0,T1136,44,10.39,10.39,172,191,0.309,1.0,,1,,5.2,5.2,,,,S5,AAA,0.0,,,,,,,,,,,,,0,1996
96RA00532,T5039,44,95,1,42,02,802,C,1,1,2.0,Y,113,81,108,0.63,120,120,74,0.132,2.7,60,6.4,,,24.87,5.8,60,2,1,3+,1.19,79.8,T4049,44,3.18,3.18,T3923,44,0.97,0.97,145,191,0.191,1.0,GOOD WOOL,1,CTL,2.07,2.07,86,95,,S1,A,0.0,LISA,C,75,4,10,0,E,,,,,,0,1996
96RA00533,T5037,44,95,1,ch,01,  0,c,2,2,4.0,Y,113,58,113,0.424,112,112,74,0.186,0.0,60,4.6,,,0.0,0.0,,,1,,1.27,89.3,S1878,10,0.0,0.0,T1965,44,7.51,7.51,136,191,0.236,1.0,CR.FR.TENDONS,1,,3.76,3.76,,,,S3,AA,0.0,,,,,,,,,,,,,0,1996
