UID,ID10,ID,ETAG,BRD,YR,SEA,LINE,STM,PEN,GRP,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,SAWT,SADAY,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,CODON171,LIB,LIBING,LIBBRDG,FERT,LOT,OLD_LOT,STUDY,STUDY2,ORIENT,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,IDZ65,ALTID,INBRL
06RA00220,105450346,T0346,T0346,45,05,1,48,02,61T,,M,3,2,5.0,Y,93,106,128,0.744,196,196,51,0.305,2.5,2.9,62,9.4,10.6,,24.0,4.0,16.8,60,1,1,3+,2.16,133.4,T8402,44,T8239,44,215,,209,194,0.305,1.0,PNEU.Ok Now,1,NON,MSU,110,113,,,S+,A+,STUD,97.0,58,,Targ,,,2,,,,,,,,,,5,12,8,2006,,,0,,0.006
06RA00221,105450351,T0351,T0351,45,05,1,48,02,63T,,M,3,1,7.0,Y,93,108,128,0.77,156,156,51,0.163,2.8,3.2,60,6.8,7.7,,22.9,3.9,16.9,62,1,1,3-,1.88,135.8,T9743,44,T6780,44,0,,166,194,0.172,1.0,"X, SIZE",3,NON,KK,95,97,,,,,,,,,Targ,,,,,,,,,,,,,7,14,12,2006,93,0814,6426,,0.073
06RA00222,105450352,T0352,T0352,45,05,1,48,02,63T,,M,3,1,7.0,Y,93,115,130,0.825,168,168,51,0.181,2.6,3.0,60,7.0,7.9,,23.9,3.7,15.6,60,1,1,3+,1.88,135.8,T9743,44,T6780,44,200,,187,194,0.214,1.0,PINKonFACE,2,NON,KK,98,96,N,QR,,,,,110,,Targ,,,,,,,,,, 7,0,,7,14,12,2006,92,0921,6920,,0.073
06RA00223,105450353,T0353,T0353,45,05,1,ID,02,41T,,I,1,1,3.0,Y,93,115,128,0.791,179,179,51,0.217,2.1,2.4,62,7.2,8.1,,21.1,3.2,15.1,64,1,1,3,1.82,121.9,T9608,44,T8992,44,223,,203,194,0.26,1.0,,2,MSU,MSU,94,96,N,RR,,,,,100,,Idah,,,,,,,,,, 7,1,74294,3,5,4,2006,92,0921,6923,,0.05
06RA00224,105450372,T0372,T0372,45,05,1,48,02,63T,,M,3,1,6.0,Y,94,112,127,0.77,178,178,51,0.224,3.0,3.5,60,7.8,8.8,,22.1,3.7,16.9,62,2,1,2,2.08,134.5,T9743,44,T7106,44,194,,203,194,0.269,1.0,,1,NON,KK,105,107,,,S+,A+,STUD,53.0,e23,,Targ,,,3,,,,,,,,,,6,13,10,2006,,,0,,0.048
06RA00225,105450403,T0403,T0403,45,05,1,ID,02,41T,,I,1,1,4.0,Y,95,120,126,0.837,193,193,51,0.247,2.4,2.8,62,7.8,8.9,,22.3,4.0,18.2,62,1,1,5,1.94,122.7,T9608,44,T8339,44,216,,220,194,0.296,1.0,F5 < F4,1,MSU,MSU,100,103,,,,,,,,,Idah,,,,,,,,,,,,,4,8,5,2006,,,0,,0.033
06RA00226,105450407,T0407,T0407,45,05,1,ID,02,42T,,I,3,2,4.0,Y,95,95,126,0.663,157,157,51,0.21,2.4,2.8,62,6.4,7.3,,21.1,3.3,15.7,64,1,1,3-,1.94,147.5,T9473,44,T8328,44,0,,,0,0.0,1.0,"X,SOFT TESTES",3,ISA,ISA,,,,,,,,,,,Idah,,,,,,,,,,,,,4,8,8,2006,93,0612,2101,,0.023
06RA00227,105450419,T0419,T0419,45,05,1,ID,02,43T,,I,2,2,5.0,Y,96,119,127,0.835,187,187,51,0.232,2.5,2.9,62,6.8,7.8,,23.0,4.0,17.6,62,1,1,3,1.83,124.4,T8296,44,T7760,44,237,,219,194,0.298,1.0,,2,KK,KK,99,95,N,QQ,,,,,103,,Idah,,,,,,,,,, 7,0,,5,9,7,2006,92,0921,6922,,0.011
06RA00228,105450442,T0442,T0442,45,05,1,48,02,65T,,M,3,1,7.0,Y,96,106,127,0.752,164,164,51,0.198,2.6,3.0,62,6.6,7.5,,21.7,3.5,16.0,64,1,1,2+,1.88,117.8,T9722,44,T6526,44,0,,186,194,0.238,1.0,F2+ X,3,NON,US,92,96,,,,,,,,,Targ,,,,,,,,,,,,,7,14,10,2006,93,0814,6428,,0.05
06RA00229,105450459,T0459,T0459,45,05,1,ID,02,41T,,I,1,1,2.0,Y,97,100,126,0.673,182,182,51,0.28,2.2,2.6,62,7.2,8.2,,18.4,3.2,17.2,80,1,1,3,1.68,122.5,T9608,44,T9604,44,214,,204,194,0.31,1.0,inbr .146,2,MSU,MSU,99,102,N,RR,,,,,108,,Idah,,,,,,,,,, 7,0,,2,2,2,2006,92,0921,6914,,0.146
