UID,ETAG,BRD,YR,SEA,LINE,STM,PEN,TRT,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SL,ADJ_SL,FLGR,FLWT,ADJ_FLWT,FLRATIO,MICRON,SD,CV,DIGR,H,J,F,NOBN,LBWN,SIRE,SBRD,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,DNA,M_IDX,F_IDX,BOVIS,LIB,LIBING,LIBBRDG,PD_DEC,FERT,LOT,NAX,STUDY,STUDY2,RANK,APP,MOT,RFM,ABN,WBC,SEMEN,SELL,ELG,REGNO,LY2,LY3,LY5,YRREC,DISP,DAYDIS,FLBVB,FLBVG,FLBVR,SAGE
01RA00046,A6672,04,99,1,88,30,41-,.,3,2,5.5,M,113,83,110,0.66,189,162,67,0.277,3.5,3.5,60,7.8,7.8,0.0413,25.07,4.62,18.4,58,1,1,1-,2.1,123.0,A4441,04,A0355,04,217,192,0.313,2.0,"ABS.BRISKET,X",1,GXE,,90,94,N,S1,A,STUD,,88.0,56x,Nax,INBR,.,,CR,50,2,,0,S,,0,_____,5,12,9,2001,50,1025,-1.1986,-0.6499,-0.0099,
01RA00047,A6680,04,99,1,88,30,41-,.,3,2,3.5,M,113,77,110,0.625,198,146,67,0.242,0.0,0.0,60,8.8,8.8,0.0444,0.0,0.0,0.0,0,.,1,.,2.29,152.4,A4441,04,A3767,04,200,192,0.319,2.0,,V,GXE,,,,N,D1,B,,ORE,,DUD,Nax,P 32,HOMO,11,,,,,,,,0,_____,3,7,6,2001,,,-0.6093,-0.0899,-0.0064,
01RA00048,A6687,04,99,1,81,30,04,M,2,2,6.0,M,113,89,110,0.703,208,161,67,0.253,3.3,3.3,54,12.8,12.8,0.0615,31.59,5.65,17.9,48,3,1,3,2.03,146.3,A4528,04,A1397,04,228,192,0.26,2.0,"DUD, H3",3,LWW,,109,115,,D3,DUD,,,,,,X,.,,,,,,,,,0,_____,6,11,11,2001,93,0824,1.2663,2.0463,0.0037,
01RA00049,A6735,04,99,1,88,30,45-,.,3,3,2.5,Y,113,68,110,0.537,185,142,67,0.26,0.0,0.0,60,8.8,8.8,0.0476,0.0,0.0,0.0,0,.,1,.,2.24,155.4,A4678,04,A3875,04,203,192,0.26,2.0,,V,GXE,,,,N,D1,B,,ORE,,DUD,Nax,B 23,HOMO,10,,,,,,,,0,_____,2,4,4,2001,,,-0.8749,-0.533,-0.0074,
01RA00050,A6738,04,99,1,88,30,45-,.,3,2,4.0,M,113,80,110,0.642,189,148,67,0.239,0.0,0.0,60,8.2,8.2,0.0434,0.0,0.0,0.0,0,.,1,.,1.81,94.6,A4678,04,A3561,04,207,192,0.26,2.0,"DUD, D6",V,GXE,,,,N,D4,DUD,,ORE,,DUD,Nax,B 13,HOMO,22,,,,,,,,0,_____,3,6,4,2001,,,-1.3314,-0.9812,-0.0105,
01RA00051,A6759,04,99,1,82,30,26,C,1,1,4.0,M,114,95,109,0.753,214,163,67,0.239,3.0,3.0,58,8.4,8.4,0.0393,26.12,4.76,18.2,58,1,1,2+,1.69,120.1,A4171,04,A3637,04,217,192,0.299,2.0,DUD >works,1,CTL,,89,92,N,D3w,DUD,STUD,,83.0,51alt,,INBR,FLWT,,CL,65,3,,0,E,,0,_____,4,5,5,2001,,,-1.427,-0.6277,-0.0114,
01RA00052,A6761,04,99,1,81,30,01,M,3,2,4.0,M,114,96,109,0.807,212,142,67,0.161,2.8,2.8,56,10.2,10.2,0.0481,28.08,5.59,19.9,54,1,1,2-,2.56,173.3,A4254,04,A2839,04,234,192,0.248,2.0,,1,LWW,,113,99,N,S1,A,STUD,,95.0,e62,,INBR,.,,CR,65,4,,0,E,,0,_____,4,12,10,2001,,,-0.2059,0.575,-0.0051,
01RA00053,A6827,04,99,1,88,30,43-,.,3,2,2.5,M,116,79,113,0.633,220,154,67,0.269,3.9,3.9,56,6.8,6.8,0.0309,28.95,4.59,15.8,54,2,1,2+,2.41,159.7,A4395,04,A3752,04,231,192,0.28,2.0,not DUD,1,GXE,,104,89,N,S1,A,STUD,,86.0,e65,Nax,FLWT,.,,M,35,2,,5,S,,0,_____,2,5,4,2001,,,-1.669,-0.7643,-0.0133,
01RA00054,A6828,04,99,1,88,30,43-,.,3,2,2.5,M,116,93,113,0.737,238,149,67,0.201,0.0,0.0,54,10.2,10.2,0.0429,0.0,0.0,0.0,0,.,1,.,2.41,159.7,A4395,04,A3752,04,243,192,0.261,2.0,,1,GXE,,,,N,D1,B,,,,55alt,Nax,INBR,SPAR,,CR,70,4,,0,E,,0,_____,2,5,4,2001,,,-0.7665,0.2059,-0.0087,
01RA00055,A6853,04,99,1,81,30,01,M,3,3,6.0,M,116,87,107,0.699,235,186,67,0.347,3.0,3.0,60,8.4,8.4,0.0357,25.75,4.89,19.0,58,2,1,2,2.23,157.7,A4254,04,A1103,04,235,192,0.358,2.0,,1,LWW,,107,92,N,S0,B,STUD,,98.0,52,,INBR,.,,CR,50,3,,10,S,,0,_____,6,13,12,2001,,,-1.3006,0.0236,-0.0115,
01RA00056,A6863,04,99,1,82,30,23,C,2,2,7.0,M,116,83,107,0.673,207,158,67,0.263,3.2,3.2,58,7.6,7.6,0.0367,24.96,4.32,17.3,58,1,1,2,2.1,138.7,A4095,04,A0120,04,219,192,0.266,2.0,RCVR >works,3,CTL,,94,90,,D3w,DUD,STUD,,100.0,,,X,.,,,,,,,,,0,_____,7,14,11,2001,93,0824,-0.7052,0.0255,-0.0062,
01RA00057,A6887,04,99,1,88,30,42-,.,3,2,3.5,M,117,83,106,0.702,198,161,67,0.274,0.0,0.0,56,10.2,10.2,0.0515,0.0,0.0,0.0,0,.,1,.,2.43,146.9,A3724,04,A3969,04,219,192,0.307,2.0,COARSE,V,GXE,,,,N,D1,B,,ORE,,,Nax,P  4,STUD,8,,,,,,,,0,_____,3,8,6,2001,,,0.4686,1.1406,-0.0001,
01RA00058,A6889,04,99,1,82,30,24,C,2,2,8.0,M,117,76,106,0.623,189,120,67,0.154,2.8,2.8,58,7.2,7.2,0.0381,25.24,4.27,16.9,58,1,1,2+,2.13,137.6,A4310,04,L7544,03,203,192,0.212,2.0,DUD >works,3,CTL,,90,84,,D3w,DUD,STUD,,92.0,,,X,.,,,,,,,,,0,_____,8,17,14,2001,93,0824,-1.2742,-1.1575,-0.0092,
