UID,YR,ETAG,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,AADG,YRWT,DAYSH,YADG,SL,FLGR,YLD,FLWT,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,JUWT,JDAY,JADG,RMK,PD,INDEX,WRK,BRAND,LIB,LIBING,YRREC
92RA00255,91,L7742,81,30,312,2,2,6,Y,111,71,108,0.563,122,135,0.181,8.8,56,45.2,6.9,3.1,23.5,60,3,1,3+,1.91,131.3,385603,830002,163,194,0.27,SCUR3,2,105,W,,S4,AAA,1992
92RA00256,91,L7755,82,30,327,1,1,2,Y,111,92,108,0.641,119,135,0.096,7.2,60,30.5,10.5,3.2,24.9,60,2,1,2+,1.98,125.1,406403,389103,152,194,0.176,AB.SCROTUM,3,97,W,,S1,A,1992
92RA00257,91,L7767,80,30,P-1,2,2,1,Y,111,77,108,0.685,139,135,0.221,6.9,56,48.2,8.0,3.9,22.1,62,3,1,3-,2.13,129.8,362403,502203,167,194,0.264,SCUR3,1,107,W,,D3,DUD,1992
92RA00258,91,L7782,83,30,331,2,1,2,Y,111,84,108,0.634,133,135,0.174,8.1,56,31.5,10.7,3.4,21.4,64,2,2,2+,2.15,89.3,394303,429903,157,194,0.214,,3,83,W,,S2,AA,1992
92RA00259,91,L7803,80,30,304,2,2,4,Y,113,80,106,0.637,139,135,0.21,7.9,56,28.5,10.1,2.9,23.5,60,1,2,1-,1.97,125.6,382203,096703,177,194,0.284,,C,101,W,blue 68,S2,AA,1992
92RA00260,91,L7857,73,30,  .,3,1,3,F,224,104,150,0.622,121,135,0.135,0.0,60,0.0,6.6,,0.0,,,,,1.67,90.3,000003,269203,154,194,0.269,,1,91,W,,SP,B,1992
92RA00261,91,L7866,73,30,  .,2,2,3,F,224,96,150,0.59,122,135,0.206,0.0,58,0.0,5.1,,0.0,,,,,2.0,85.0,000003,275603,161,194,0.349,,1,93,W,,S4,AAA,1992
92RA00262,91,L7904,73,30,173,3,2,2,F,225,95,149,0.647,116,135,0.167,0.0,58,0.0,8.7,,0.0,,,,,1.5,95.0,173303,459103,154,194,0.317,,1,98,W,,S2,AA,1992
92RA00263,91,L7905,73,30,  .,2,2,6,X,225,102,149,0.642,124,135,0.175,0.0,58,0.0,6.9,,0.0,,,,,1.33,101.5,000003,886302,163,194,0.328,X.EPI.L,X,104,,,,,1992
92RA00264,91,L7906,73,30,  .,2,2,6,F,225,88,149,0.554,122,135,0.27,0.0,58,0.0,6.8,,0.0,,,,,1.33,101.5,000003,886302,155,194,0.36,,1,107,W,,D2,DUD,1992
92RA00265,91,L7918,73,30,  .,3,2,4,X,225,106,149,0.672,130,135,0.19,0.0,58,0.0,6.9,,0.0,,,,,1.5,106.3,000003,120203,172,194,0.355,X.CR.LF.LEG,X,110,,,,,1992
92RA00266,91,L7920,73,30,  .,2,2,4,F,226,106,148,0.675,132,135,0.206,0.0,58,0.0,8.7,,0.0,,,,,1.0,87.0,000003,113703,185,194,0.425,,1,101,W,,S0,B,1992
92RA00267,91,L7929,73,30,173,2,2,1,F,226,79,148,0.563,105,135,0.206,0.0,56,0.0,7.2,,0.0,,,,,2.0,151.0,173303,647603,145,194,0.355,,1,144,W,,D3,DUD,1992
92RA00268,91,L7955,73,30,173,2,2,2,F,227,101,147,0.676,129,135,0.222,0.0,60,0.0,6.5,,0.0,,,,,1.0,90.5,173303,454603,170,194,0.371,,1,99,W,,S2,AA,1992
92RA00269,91,L7987,73,30,173,2,2,2,F,227,86,147,0.573,108,135,0.175,0.0,58,0.0,6.9,,0.0,,,,,1.0,79.5,173303,446403,147,194,0.328,,1,87,W,,S1,A,1992
92RA00270,91,L8000,73,30,173,2,1,1,F,228,114,146,0.778,131,135,0.135,0.0,56,0.0,7.9,,0.0,,,,,2.0,112.0,173303,600403,173,194,0.317,,1,111,W,,D3,DUD,1992
