UID,ETAG,YR,SEA,LINE,STM,PEN,TB,TR,AOD,BAND,DAYBN,WNWT,WNAGE,ADG,SPWT,YRWT,DAYSH,YADG,SHOU,SIDE,SL,FLGR,FLWT,YLD,CLFL,MICRON,DIGR,H,J,F,NOBN,LBWN,SIRE,DAM,DBRD,JUWT,JDAY,JADG,AGE,RMK,PD,GENO,M_IDX,F_IDX,WRK,DAM5,LIB,LIBING,FERT,LOT,SEMEN,YRREC
93RA00245,L9531,92,2,73,30,427,1,1,50,F,245,81,94,0.715,137,137,139,0.339,0.0,0.0,0.0,56,6.4,0.0,0.0,0.0,0,1,1,,1.6,131.6,L4423,1531,03,155,189,0.344,0.5,X EPI L.TESTE,3,MKT,122,0,,L1531,,,,,,1993
93RA00246,L9534,92,2,73,30,354,2,2,40,F,245,86,94,0.779,157,157,139,0.43,0.0,0.0,0.0,60,6.1,0.0,0.0,0.0,0,1,1,,1.5,109.0,L4460,2927,03,196,189,0.512,0.5,HAIRY,1,FL,121,0,,L2927,S4,AAA,,alt,S,1993
93RA00247,L9537,92,2,72,30,723,2,2,40,F,246,64,93,0.587,100,100,139,0.218,0.0,0.0,0.0,62,4.5,0.0,0.0,0.0,0,1,1,,1.25,102.3,L6257,3108,03,127,189,0.293,0.5,"X RUNT,TESTES",3,FL,97,0,,L3108,,,,,,1993
93RA00248,L9538,92,2,72,30,723,2,2,40,F,246,66,93,0.598,96,96,139,0.182,0.0,0.0,0.0,60,4.9,0.0,0.0,0.0,0,1,1,,1.25,102.3,L6257,3108,03,124,189,0.27,0.5,RAT,3,FL,95,0,,L3108,D3,DUD,,,,1993
93RA00249,L9542,92,2,73,30,354,2,2,40,F,246,66,93,0.603,128,128,139,0.376,0.0,0.0,0.0,60,5.3,0.0,0.0,0.0,0,1,1,,2.0,102.5,L4423,2756,03,129,189,0.293,0.5,,1,FL,98,0,,L2756,S4,AAA,,,E,1993
93RA00250,L9554,92,2,73,30,416,1,1,40,F,246,79,93,0.731,113,113,139,0.206,0.0,0.0,0.0,62,4.7,0.0,0.0,0.0,0,1,1,,1.75,97.5,L4423,2634,03,144,189,0.302,0.5,BADBACK,3,FL,95,0,,L2634,,,,,,1993
93RA00251,L9566,92,2,73,30,416,2,2,30,F,247,73,92,0.678,118,118,139,0.273,0.0,0.0,0.0,60,4.7,0.0,0.0,0.0,0,1,1,,1.0,95.0,L4471,4596,03,141,189,0.316,0.5,,1,FL,94,0,,L4596,S3,AA,,,E,1993
93RA00252,L9567,92,2,73,30,416,2,2,30,F,247,69,92,0.627,115,115,139,0.279,0.0,0.0,0.0,60,3.4,0.0,0.0,0.0,0,1,3,,1.0,95.0,L4471,4596,03,138,189,0.321,0.5,,1,FL,95,0,,L4596,S2,AA,,,E,1993
93RA00253,L9571,92,2,73,30,427,1,1,20,F,247,80,92,0.72,124,124,139,0.267,0.0,0.0,0.0,60,4.8,0.0,0.0,0.0,0,1,2,,1.5,113.0,L4460,5860,03,160,189,0.372,0.5,,1,FL,112,0,,L5860,S3,AA,,,S,1993
93RA00254,L9572,92,2,73,30,416,1,1,50,F,247,82,92,0.761,140,140,139,0.352,0.0,0.0,0.0,58,4.7,0.0,0.0,0.0,0,4,2,,2.2,148.8,L4471,1383,03,149,189,0.312,0.5,"SCUR,HIGH IDX",3,MKT,131,0,,L1383,,,,,,1993
93RA00255,L9578,92,2,73,30,354,2,2,30,F,247,73,92,0.677,120,120,139,0.285,0.0,0.0,0.0,58,5.3,0.0,0.0,0.0,0,1,1,,2.0,107.0,L4471,4432,03,128,189,0.256,0.5,,1,FL,97,0,,L4432,S4,AAA,,alt,E,1993
93RA00256,L9586,92,2,72,30,721,3,2,50,F,247,69,92,0.652,111,111,139,0.255,0.0,0.0,0.0,56,5.4,0.0,0.0,0.0,0,1,1,,2.2,128.6,L4551,1537,03,127,189,0.27,0.5,,1,FL,114,0,,L1537,S2,AA,99.9,744,S,1993
