UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00182,K1137,1,05,00,00,1,2.0,0,Y,.,2,3+,6.6,2.6,,1,54,CLPG,N,,,,,0.0,0
02PR00183,K1142,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,"COARSE, 48",3,LIB,LIB,N,,,,,0.0,0
02PR00184,K1163,1,05,00,00,1,2.0,0,Y,.,1,2-,7.5,3.0,,1,.,CLPG,N,,,,,0.0,0
02PR00185,K1195,1,06,68,00,1,2.0,7,Y,.,2,2,10.0,3.9,,1,07,ADG,y,29.4,4.5,15.2,7.9,39.3,50
02PR00186,K1196,1,06,68,00,1,2.0,7,Y,.,1,3-,8.0,3.1,"BIG, 17.3",1,02,ADG,y,31.3,5.9,18.7,11.1,51.2,48
02PR00187,K1198,1,06,68,00,1,2.0,7,Y,.,2,3+,9.7,3.8,,1,.,ADG,y,30.4,5.1,16.7,8.9,47.1,50
02PR00188,K1199,1,06,68,00,1,2.0,7,Y,.,2,3,9.2,3.6,NICE,1,.,ADG,y,31.6,6.5,20.7,12.2,52.5,48
02PR00189,K1178,1,05,00,00,1,2.0,0,Y,.,2,2-,7.6,3.0,,1,.,CLPG,N,,,,,0.0,0
02PR00190,K1098,1,05,00,00,1,2.0,0,Y,.,1,3-,9.1,3.6,,1,e10,CLPG,N,,,,,0.0,0
02PR00191,K1072,1,06,68,00,1,2.0,7,Y,.,2,3+,8.6,3.4,,1,.,ADG,y,29.8,5.3,17.7,9.9,40.0,50
02PR00192,K1335,1,05,00,00,1,2.0,0,Y,.,2,2-,6.8,2.7,RCVR<,1,alt,CLPG,N,,,,,0.0,0
02PR00193,K1353,1,06,68,00,1,2.0,7,Y,.,1,2,8.3,3.3,,1,alt,ADG,y,31.0,5.3,17.2,9.0,55.6,48
02PR00194,K1363,1,05,00,00,1,2.0,0,Y,.,3,2-,8.0,3.1,RCVR<,1,alt,CLPG,N,,,,,0.0,0
02PR00195,K1389,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,"Q, WBC",3,LIB,LIB,N,,,,,0.0,0
02PR00196,K1374,1,06,68,00,1,2.0,7,Y,.,2,3+,9.9,3.9,"X,CR.LEGS11/6",1,alt,ADG,y,27.8,5.0,17.8,9.2,27.8,56
02PR00197,K1411,1,05,00,00,1,2.0,0,Y,.,1,2-,9.1,3.6,,1,.,CLPG,N,,,,,0.0,0
02PR00198,K1401,1,06,68,00,1,2.0,7,Y,.,1,2+,9.6,3.8,NICE,1,alt,ADG,y,31.4,4.7,15.1,8.2,57.0,48
02PR00199,K1400,1,06,68,00,1,2.0,7,Y,LIB,.,.,0.0,0.0,NICE melw165,3,LIB,LIB,N,,,,,0.0,0
02PR00200,K1403,1,06,68,00,1,2.0,7,Y,.,1,3+,9.1,3.6,RUGGED,1,08,ADG,y,28.3,5.2,18.5,9.3,31.0,54
02PR00201,K1438,1,06,68,00,1,2.0,7,Y,.,1,2,9.9,3.9,"X,LAME,LR",1,alt,ADG,y,28.0,4.0,14.3,7.3,24.8,54
