UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,PD,LIB,NAX,STUDY,MICRON,SD,CV,CEM,PF,DIGR
01PR00349,R1943,1,07,12,00,1,1.0,0,Y,,2,3+,6.6,2.6,,Y,1,n,x,,21.16,4.14,19.6,7.6,2.9,64
01PR00350,R1950,1,07,12,00,1,1.0,0,Y,,4,3-,6.1,2.4,H3+,Y,1,n,x,,21.59,3.72,17.2,6.7,1.8,64
01PR00351,R1953,1,43,12,00,1,1.0,0,Y,,7,3+,7.2,2.8,H7,Y,1,n,x,,20.18,4.14,20.5,7.3,1.7,70
01PR00352,R1986,1,07,12,00,1,1.0,0,Y,,2,3,7.0,2.8,,Y,1,n,x,,18.86,3.86,20.5,7.2,0.7,80
01PR00353,R1988,1,43,13,00,1,1.0,0,Y,,1,3,6.4,2.5,BULL,Y,1,n,x,,21.79,3.6,16.5,6.8,2.5,64
01PR00354,R1989,1,43,12,00,1,1.0,0,Y,,3,2,7.2,2.8,,Y,1,n,x,,20.2,4.06,20.1,7.8,2.5,70
01PR00355,R1742,1,07,12,00,1,1.0,0,Y,,1,3,6.8,2.7,FEMININE,Y,1,n,x,,21.25,3.88,18.3,6.8,1.5,64
01PR00356,R1747,1,07,10,00,1,1.0,0,Y,,1,4,6.8,2.7,,Y,1,n,x,,21.08,4.55,21.6,7.6,3.1,64
01PR00357,R1754,1,43,12,00,1,1.0,0,Y,,2,3-,6.3,2.5,,Y,1,n,x,,21.07,4.11,19.5,6.9,1.8,64
01PR00358,R1764,1,07,11,00,1,1.0,0,Y,,2,3,7.1,2.8,,Y,1,n,x,,21.95,4.03,18.4,7.0,3.3,64
01PR00359,R1724,1,07,10,00,1,1.0,0,Y,,1,3,8.2,3.2,,Y,1,n,x,,21.64,4.02,18.6,7.1,2.8,64
01PR00360,R1726,1,07,13,00,1,1.0,0,Y,,5,3-,7.3,2.9,H7,Y,1,n,x,,19.71,4.09,20.8,7.4,1.1,70
01PR00361,R1780,1,07,13,00,1,1.0,0,Y,,1,3-,8.0,3.1,,Y,1,n,x,,21.02,4.34,20.6,7.4,2.3,64
01PR00362,R1773,1,43,12,00,1,1.0,0,Y,X,5,3,7.7,3.0,"X,HORN,L.EYE",Y,3,n,x,,19.82,4.03,20.3,7.7,1.9,70
01PR00363,R1774,1,07,10,00,1,1.0,0,Y,,1,3,7.2,2.8,,Y,1,n,x,,22.5,5.35,23.8,9.8,9.8,62
01PR00364,R0118,1,07,12,99,1,2.0,0,M,80,2,3+,8.6,3.4,DUD,Y,1,D3w,x,,21.99,3.79,17.2,7.0,3.2,64
01PR00365,R0130,2,07,11,99,1,2.0,0,1,,.,.,6.1,2.4,DYSTOCIA,Y,1,n,x,,23.12,3.87,16.7,7.1,5.4,62
01PR00366,R0137,2,07,11,99,1,2.0,0,1,,.,.,8.4,3.3,,Y,1,n,x,,25.88,5.06,19.6,9.8,20.9,58
01PR00367,R0141,2,07,13,99,1,2.0,0,1,,.,.,8.1,3.2,,Y,1,n,x,,19.32,3.51,18.2,6.4,0.3,70
