UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
00PR00353,K0474,2,06,61,98,1,2.0,7,1,GXE,.,.,9.6,3.78,4TEATS,Y,28.45,7.25,25.5,54
00PR00354,K0476,2,06,61,98,1,2.0,7,3,LIM,.,.,9.5,3.74,,Y,27.21,4.14,15.2,56
00PR00355,K0511,2,06,62,98,1,2.0,7,3,LIM,.,.,8.5,3.35,,Y,29.26,4.88,16.7,54
00PR00356,K0504,2,06,61,98,1,2.0,7,1,GXE,.,.,9.0,3.54,4TEATS,Y,26.28,4.7,17.9,58
00PR00357,K0531,1,06,62,98,1,2.0,7,M,GXE,1,3+,9.8,3.86,4TEATS,Y,31.61,6.55,20.7,48
00PR00358,K0532,2,06,62,98,1,2.0,7,1,GXE,.,.,11.2,4.41,4TEATS,Y,33.47,6.84,20.5,46
00PR00359,K0538,2,06,60,98,1,2.0,7,1,GXE,.,.,7.9,3.11,DYSTOCIA'99,Y,24.52,4.49,18.3,60
00PR00360,K0545,2,06,61,98,1,2.0,7,1,GXE,.,.,9.1,3.58,4TEATS,Y,26.09,6.24,23.9,58
00PR00361,K0550,2,06,60,98,1,2.0,7,3,LIM,.,.,11.5,4.53,4TEATS,Y,26.73,4.38,16.4,56
00PR00362,K0567,1,06,61,98,1,2.0,7,M,GXE,1,2-,8.2,3.23,,Y,28.07,6.05,21.5,54
00PR00363,K0520,2,06,62,98,1,2.0,7,1,GXE,.,.,10.3,4.06,,Y,28.79,5.42,18.8,54
00PR00364,K0573,2,06,60,98,1,2.0,7,3,LIM,.,.,12.0,4.72,4TEATS,Y,25.87,3.6,13.9,58
00PR00365,K0575,2,06,60,98,1,2.0,7,3,LIM,.,.,9.0,3.54,4TEATS,Y,28.02,4.95,17.7,54
00PR00366,K0638,1,05,00,99,1,1.0,0,Y,CC,1,3,6.3,2.48,JAW 4 so,n,,,,0
00PR00367,K0646,1,05,00,99,1,1.0,0,Y,CC,1,3+,7.2,2.83,,n,,,,0
00PR00368,K0649,1,06,68,99,1,1.0,7,Y,GXE,1,3+,7.0,2.76,,Y,24.89,4.45,17.9,60
00PR00369,K0661,1,06,68,99,1,1.0,7,Y,GXE,1,3,7.6,2.99,,Y,24.96,5.57,22.3,58
00PR00370,K0622,1,06,68,99,1,1.0,7,Y,GXE,2,3,9.0,3.54,,Y,24.54,4.16,17.0,60
00PR00371,K0682,1,06,68,99,1,1.0,7,Y,GXE,1,3+,9.0,3.54,,Y,25.35,4.66,18.4,58
00PR00372,K0689,1,06,68,99,1,1.0,7,Y,GXE,1,3,8.0,3.15,,Y,23.88,5.04,21.1,60
00PR00373,K0693,1,06,68,99,1,1.0,7,Y,GXE,1,3-,7.8,3.07,,Y,22.94,4.66,20.3,62
00PR00374,K0694,1,05,00,99,1,1.0,0,Y,CN,2,3-,6.2,2.44,,n,,,,0
00PR00375,K0675,1,06,68,99,1,1.0,7,Y,GXE,2,3-,5.6,2.2,,Y,26.5,5.97,22.5,56
00PR00376,K0213,2,06,62,98,1,2.0,7,1,GXE,.,.,9.3,3.66,,Y,26.35,4.21,16.0,58
