UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,MICRON,SD,CV,DIGR,RMK
97PR00061,A2059,1,30,81,95,1,2.0,0,M,,1,2,8.4,3.3,25.58,4.84,18.9,58,
97PR00062,A2062,1,30,82,95,1,2.0,0,C,,1,2,9.0,3.5,26.9,4.87,18.1,56,
97PR00063,A2026,1,30,82,95,1,2.0,0,C,,1,3+,9.2,3.6,28.19,4.72,16.7,54,
97PR00064,A2027,1,30,82,95,1,2.0,0,C,,1,1-,9.0,3.5,26.14,4.76,18.2,58,
97PR00065,A2085,1,30,82,95,1,2.0,0,C,,1,2,8.5,3.3,26.79,5.04,18.8,56,
97PR00066,A2086,1,30,82,95,1,2.0,0,C,,2,2+,8.2,3.2,26.41,4.75,18.0,56,
97PR00067,A2096,1,30,81,95,1,2.0,0,M,,2,2-,10.0,3.9,26.59,4.98,18.7,56,NICE
97PR00068,A2074,1,30,82,95,1,2.0,0,C,,3,2+,8.0,3.1,24.45,5.05,20.7,60,
97PR00069,A2465,1,30,82,95,1,2.0,0,C,,2,2+,8.6,3.4,23.73,4.59,19.4,60,
97PR00070,A2845,1,30,82,96,1,1.0,0,C,,2,3+,7.0,2.8,25.14,5.42,21.6,58,
97PR00071,A2854,1,30,82,96,1,1.0,0,C,,2,3+,7.2,2.8,22.57,4.42,19.6,62,
97PR00072,A2852,1,30,82,96,1,1.0,0,C,,4,2-,8.4,3.3,24.37,4.52,18.6,60,HORN4
97PR00073,A2858,1,30,82,96,1,1.0,0,C,,2,2+,7.5,3.0,25.62,4.51,17.6,58,NICE
97PR00074,A2859,1,30,82,96,1,1.0,0,C,,1,2-,7.5,3.0,22.45,5.32,23.7,62,
97PR00075,A2883,1,30,82,96,1,1.0,0,C,,1,2,7.0,2.8,25.97,6.1,23.5,58,
97PR00076,A2887,1,30,81,96,1,1.0,0,M,,6,2,8.0,3.1,23.67,4.25,18.0,60,"X,HORN6"
97PR00077,A2871,1,30,81,96,1,1.0,0,M,,2,2,7.5,3.0,24.17,4.42,18.3,60,4TEATS
97PR00078,A2910,1,30,81,96,1,1.0,0,M,,3,2,6.0,2.4,21.18,3.82,18.0,64,
97PR00079,A2914,1,30,82,96,1,1.0,0,C,,1,2,7.0,2.8,22.75,4.2,18.5,62,
97PR00080,A2918,1,30,82,96,1,1.0,0,C,,2,1-,7.8,3.1,23.3,4.07,17.5,62,KEEP+SALE97
97PR00081,A2939,1,30,82,96,1,1.0,0,C,,3,1-,7.2,2.8,23.34,4.26,18.3,62,
97PR00082,A2983,1,30,82,96,1,1.0,0,C,,1,2+,7.5,3.0,23.23,4.4,19.0,62,
97PR00083,A2978,1,30,82,96,1,1.0,0,C,,2,2,8.8,3.5,25.96,6.22,24.0,58,
97PR00084,I4052,1,02,ID,94,1,3.0,I,,,1,2-,8.1,3.2,20.77,3.39,16.3,64,Isaacs Ram
97PR00085,K8132,1,06,60,95,1,2.0,0,M,,2,2-,8.2,3.2,26.33,5.38,20.5,58,
97PR00086,K8140,1,06,62,95,1,2.0,0,C,,1,3+,10.0,3.9,25.94,5.94,22.9,58,
97PR00087,K8192,1,06,60,95,1,2.0,0,M,,2,3+,10.2,4.0,26.91,4.62,17.2,56,"NICE,LOW LIB"
97PR00088,K8018,1,06,60,95,1,2.0,0,M,,3,3+,8.6,3.4,27.4,4.58,16.7,56,mr.BIG adg959
97PR00089,K8027,1,05,00,95,1,2.0,0,H,,1,2-,10.5,4.1,28.9,4.53,15.7,54,Cc HM! Cc
97PR00090,K8080,1,05,00,95,1,2.0,0,H,,3,2-,10.0,3.9,29.79,6.26,21.0,50,"NC, 4TEATS"
97PR00091,K8090,1,06,61,95,1,2.0,0,R,,2,2-,9.0,3.5,24.59,4.64,18.9,60,
97PR00092,K8348,1,06,60,95,1,2.0,0,M,,3,3+,9.0,3.5,26.92,4.91,18.3,56,4TEATS
97PR00093,K8349,1,05,00,95,1,2.0,0,H,,1,2-,8.1,3.2,23.69,4.22,17.8,60,CC HOMOZYGOUS
97PR00094,K8363,1,05,00,95,1,2.0,0,H,,1,1-,7.3,2.9,26.42,5.0,18.9,56,CC HOMOZY.CLR
97PR00095,K8381,1,06,61,95,1,2.0,0,R,,2,2,10.5,4.1,31.08,5.29,17.0,48,
97PR00096,K8515,1,05,00,96,1,1.0,0,H,,2,3,9.2,3.6,25.13,5.69,22.6,58,
97PR00097,K8516,1,05,00,96,1,1.0,0,H,,1,3,9.5,3.7,29.22,5.77,19.8,54,*REBLEED*
97PR00098,K8518,1,06,60,96,1,1.0,0,M,,1,3,10.0,3.9,26.09,5.46,20.9,58,
97PR00099,K8543,1,06,61,96,1,1.0,0,R,,1,3,8.6,3.4,23.44,5.28,22.5,62,
97PR00100,K8547,1,05,00,96,1,1.0,0,H,,1,3+,9.8,3.9,25.67,4.63,18.0,58,
97PR00101,K8565,1,06,61,96,1,1.0,0,R,,1,3,9.9,3.9,25.04,5.81,23.2,58,SAVE?
97PR00102,K8596,1,05,00,96,1,1.0,0,H,,3,3,8.5,3.3,24.59,5.38,21.9,60,
97PR00103,K8619,1,05,00,96,1,1.0,0,H,,2,3+,7.2,2.8,25.47,4.48,17.6,58,
97PR00104,K8605,1,05,00,96,1,1.0,0,H,,1,3-,7.9,3.1,24.15,4.88,20.2,60,CHK DNA ?DROP
97PR00105,K8634,1,06,62,96,1,1.0,0,C,,1,2-,9.8,3.9,27.0,5.29,19.6,56,TRTR.EYE 3/25
97PR00106,K8651,1,06,60,96,1,1.0,0,M,,2,2-,8.0,3.1,27.65,5.2,18.8,56,NICE
97PR00107,K8652,1,06,61,96,1,1.0,0,R,,1,3,8.2,3.2,25.22,4.13,16.4,58,
97PR00108,K8664,1,05,00,96,1,1.0,0,H,,3,3-,7.2,2.8,24.35,4.44,18.3,60,*REBLEED*ENTR
