UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SIGR,ORIENT,PDBHV,MIDX,FIDX,WORK,DISP,MICRON,SD,CV,CF,DIGR
04PR00263,R3160,1,07,18,02,1,2.0,2,CTL,2,2,8.4,3.3,,V,.,Ramb,Y,62,DUD,+JNS+,99,93,W,,23.2,3.2,13.7,98.0,62
04PR00264,R3176,1,07,18,02,1,2.0,2,EXP,3,3,10.0,3.9,NICE,1,16,Ramb,Y,62,EXHET,+JNS+,107,107,W,,24.1,3.6,14.9,95.6,60
04PR00265,R3179,1,07,18,02,1,2.0,2,CTL,2,3+,10.0,3.9,NICE,1,27,Ramb,Y,62,HETRO,SAVE,103,111,W,,24.0,3.4,14.2,96.6,60
04PR00266,R3210,1,43,18,02,1,2.0,2,EXP,7,4+,8.2,3.2,H7 RUGGED,1,.,Ramb,Y,62,HETRO,SAVE,103,106,W,,22.3,3.8,17.0,97.9,62
04PR00267,R3217,1,07,18,02,1,2.0,2,CTL,1,2-,9.8,3.9,,T, 8,Ramb,Y,62,HETRO,SAVE,103,97,W,,24.5,4.0,16.2,92.7,60
04PR00268,R3240,1,07,18,02,1,2.0,2,EXP,7,3,8.6,3.4,H7,V,.,Ramb,Y,62,EXHET,+JNS+,100,110,W,,23.6,4.1,17.5,93.9,60
04PR00269,R3265,1,07,18,02,1,2.0,2,EXP,2,2-,8.2,3.2,,T, 4,Ramb,Y,62,EXHET,+JNS+,95,81,W,,24.9,3.7,14.9,92.9,60
04PR00270,R3321,1,43,18,02,1,2.0,2,EXP,3,3-,8.4,3.3,,1, 2,Ramb,Y,64,HETRO,SAVE,114,104,W,,20.2,3.0,14.9,99.5,70
04PR00271,R3340,1,07,18,02,1,2.0,2,CTL,7,3,9.1,3.6,H7,3,24,Ramb,Y,64,HETRO,MKT,95,95,W,93,20.3,3.8,18.8,98.0,70
04PR00272,R3360,1,07,18,02,1,2.0,2,EXP,7,3,7.3,2.9,H7,3,.,Ramb,Y,62,HETRO,MKT,103,93,W,93,23.3,4.8,20.6,91.6,62
04PR00273,R3362,1,43,18,02,1,2.0,2,EXP,1,3+,8.1,3.2,,V,17,Ramb,Y,62,EXHET,+JNS+,92,94,W,,24.2,4.1,16.9,93.5,60
04PR00274,R3381,1,07,18,02,1,2.0,2,CTL,2,2-,9.1,3.6,,1,.,Ramb,Y,62,BISEX,SAVE,108,112,W,,22.2,3.2,14.6,98.3,62
04PR00275,R3401,1,07,18,02,1,2.0,2,EXP,2,3,9.0,3.5,NICE,1,.,Ramb,Y,62,BISEX,SAVE,107,98,W,,22.2,2.9,13.2,99.0,62
04PR00276,R3405,1,43,18,02,1,2.0,2,EXP,2,2-,9.1,3.6,"BUCK!,PNEU!",T,.,Ramb,Y,64,???,TAYLR,96,92,W,18,20.5,3.5,17.0,98.7,70
04PR00277,R3416,1,07,18,02,1,2.0,2,CTL,1,3,7.9,3.1,,V,.,Ramb,Y,62,DUD,+JNS+,96,102,W,,21.6,3.2,14.9,99.1,64
04PR00278,R3428,1,07,18,02,1,2.0,2,EXP,1,3+,8.0,3.1,NICE,T,.,Ramb,Y,62,HETRO,TAYLR,89,101,W,,22.2,3.6,16.3,97.5,62
04PR00279,R3456,1,07,18,02,1,2.0,2,EXP,1,3,8.6,3.4,,V,11,Ramb,Y,62,EXHET,+JNS+,101,86,W,,23.9,4.9,20.5,90.2,60
04PR00280,R3506,1,07,18,02,1,2.0,2,EXP,1,3+,8.7,3.4,X R. EPI,3,.,Ramb,Y,60,EXHET,+JNS+,110,100,W,,26.0,4.3,16.5,86.4,58
04PR00281,R3507,1,07,18,02,1,2.0,2,CTL,2,3+,9.2,3.6,NOTCH SCRO.,V,.,Ramb,Y,60,HOMO,+JNS+,113,103,W,,25.0,3.8,15.1,92.7,58
04PR00282,R3537,1,43,18,02,1,2.0,2,CTL,2,5+,7.8,3.1,Heart Attack?,6,.,Ramb,Y,62,BISEX,DEAD,99,102,0,57,22.9,3.2,14.0,98.0,62
04PR00283,R3543,1,07,18,02,1,2.0,2,CTL,2,3-,10.5,4.1,,1,26,Ramb,Y,62,HETRO,SAVE,100,120,W,,22.2,3.0,13.7,98.8,62
