UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,SAMPLE,MICRON,SD,CV,DIGR
99PR00522,S8197,2,07,11,97,1,2.0,0,R, .,., .,6.5,2.6,,Y,22.11,4.13,18.7,62
99PR00523,S8201,2,43,12,97,1,2.0,0,C, .,., .,6.9,2.7,,Y,22.35,3.38,15.1,62
99PR00524,S8206,2,07,12,97,1,2.0,0,C, .,., .,8.1,3.2,,Y,23.67,4.73,20.0,60
99PR00525,S8207,2,07,11,97,1,2.0,0,R, .,., .,6.5,2.6,,Y,23.12,4.41,19.1,62
99PR00526,S8212,2,42,13,97,1,2.0,0,F, .,., .,7.9,3.1,,Y,20.62,3.5,17.0,64
99PR00527,S8220,2,07,11,97,1,2.0,0,R, .,., .,7.3,2.9,BAND MIX 2>1,Y,22.75,4.59,20.2,62
99PR00528,S8222,2,43,13,97,1,2.0,0,F, .,., .,8.8,3.5,"WILD,FIX ETAG",Y,24.09,4.59,19.0,60
99PR00529,S8224,1,07,11,97,1,2.0,0,R, .,1,3+,8.6,3.4,TopEBV line11,Y,25.82,5.2,20.1,58
99PR00530,S8225,2,42,12,97,1,2.0,0,C, .,., .,8.0,3.1,,Y,20.77,4.73,22.8,64
99PR00531,S8237,1,43,12,97,1,2.0,0,C, .,3,3,9.0,3.5,,Y,22.52,3.78,16.8,62
99PR00532,S8248,2,07,10,97,1,2.0,0,M, .,., .,8.7,3.4,,Y,22.41,3.89,17.4,62
99PR00533,S8250,2,07,10,97,1,2.0,0,M, .,., .,9.0,3.5,,Y,25.38,5.87,23.1,58
99PR00534,S8263,2,07,10,97,1,2.0,0,M, .,., .,7.3,2.9,4TEATS,Y,22.93,4.29,18.7,62
99PR00535,S8264,2,07,10,97,1,2.0,0,M, .,., .,6.8,2.7,HAIRY,Y,22.73,4.45,19.6,62
99PR00536,S8268,1,43,12,97,1,2.0,0,C, .,3,3+,8.0,3.1,H5,Y,23.12,4.19,18.1,62
99PR00537,S8280,2,43,12,97,1,2.0,0,C, .,., .,6.9,2.7,,Y,21.75,3.9,17.9,64
99PR00538,S8286,1,43,12,97,1,2.0,0,C, .,2,3+,7.8,3.1,,Y,21.49,4.88,22.7,64
99PR00539,S8289,2,07,13,97,1,2.0,0,F, .,., .,8.8,3.5,CURLY,Y,23.04,4.54,19.7,62
99PR00540,S8299,2,43,12,97,1,2.0,0,C, .,., .,7.6,3.0,4TEATS,Y,22.84,4.59,20.1,62
99PR00541,S8309,2,07,ID,97,1,2.0,7,I,LIM,., .,7.8,3.1,,Y,23.55,3.82,16.2,60
99PR00542,S8315,2,07,ID,97,1,2.0,7,I,LIM,., .,7.6,3.0,,Y,23.07,3.89,16.9,62
99PR00543,S8326,2,07,11,97,1,2.0,0,R, .,., .,7.2,2.8,ENTR,Y,22.47,4.69,20.9,62
99PR00544,S8331,2,07,11,97,1,2.0,0,R, .,., .,8.2,3.2,,Y,24.42,5.84,23.9,60
99PR00545,S8355,2,07,11,97,1,2.0,0,R, .,., .,6.8,2.7,,Y,23.6,4.85,20.5,60
99PR00546,S8370,2,07,ID,97,1,2.0,7,I,LIM,., .,6.8,2.7,,Y,19.4,3.75,19.4,70
99PR00547,S8375,2,07,10,97,1,2.0,0,M, .,., .,6.9,2.7,,Y,23.62,4.25,18.0,60
99PR00548,S8380,2,07,10,97,1,2.0,0,M, .,., .,8.2,3.2,,Y,24.63,4.36,17.7,60
99PR00549,S8381,2,07,10,97,1,2.0,0,M, .,., .,8.3,3.3,,Y,24.27,4.19,17.3,60
99PR00550,S8382,2,07,10,97,1,2.0,0,M, .,., .,7.6,3.0,,Y,25.47,4.82,18.9,58
99PR00551,S8388,2,43,12,97,1,2.0,0,C, .,., .,7.9,3.1,,Y,24.29,4.47,18.4,60
99PR00552,S8393,2,07,ID,97,1,2.0,7,I,LIM,., .,7.2,2.8,4TEATS,Y,23.54,3.73,15.8,60
99PR00553,S8394,2,42,12,97,1,2.0,0,C, .,., .,8.1,3.2,4TEATS,Y,22.96,4.99,21.7,62
99PR00554,S8398,1,43,12,97,1,2.0,0,C, .,2,2-,8.8,3.5,,Y,22.89,4.39,19.2,62
99PR00555,S8402,2,07,11,97,1,2.0,0,R, .,., .,7.0,2.8,"ENTR,4TEATS",Y,24.55,4.42,18.0,60
99PR00556,S8407,2,43,ID,97,1,2.0,7,I,LIM,., .,8.3,3.3,4TEATS,Y,23.55,3.42,14.5,60
99PR00557,S8417,2,07,18,97,1,2.0,7,M,LIM,., .,7.5,3.0,,Y,22.32,4.0,17.9,62
99PR00558,S8423,2,07,10,97,1,2.0,0,M, .,., .,7.8,3.1,,Y,21.96,4.56,20.8,64
99PR00559,S8430,2,07,11,97,1,2.0,0,R, .,., .,8.0,3.1,,Y,23.93,4.96,20.7,60
99PR00560,S8433,2,07,10,97,1,2.0,0,M, .,., .,8.7,3.4,,Y,24.15,4.63,19.2,60
99PR00561,S8435,2,07,12,97,1,2.0,0,C, .,., .,7.9,3.1,,Y,23.1,4.38,18.9,62
99PR00562,S8437,2,43,10,97,1,2.0,0,M, .,., .,8.1,3.2,4TEATS,Y,22.27,3.99,17.9,62
99PR00563,S8438,2,43,10,97,1,2.0,0,M, .,., .,8.0,3.1,DYSTOCIA,Y,20.8,3.82,18.4,64
99PR00564,S8439,2,07,ID,97,1,2.0,7,I,LIM,., .,7.4,2.9,,Y,21.89,3.35,15.3,64
99PR00565,S8442,1,07,11,97,1,2.0,0,R, .,2,2-,8.0,3.1,,Y,24.69,5.76,23.3,60
99PR00566,S8443,2,07,11,97,1,2.0,0,R, .,., .,6.5,2.6,,Y,23.25,4.56,19.6,62
99PR00567,S8450,1,07,10,97,1,2.0,0,M, .,2,2-,7.5,3.0,,Y,23.86,4.71,19.8,60
99PR00568,S8451,1,07,10,97,1,2.0,0,M, .,1,3,8.2,3.2,Top line 10,Y,23.12,5.13,22.2,62
99PR00569,S8452,2,07,10,97,1,2.0,0,M, .,., .,7.9,3.1,,Y,23.19,4.1,17.7,62
99PR00570,S8458,2,42,13,97,1,2.0,0,F, .,., .,8.1,3.2,,Y,22.39,3.56,15.9,62
99PR00571,S8461,2,43,13,97,1,2.0,0,F, .,., .,8.2,3.2,4TEATS,Y,23.17,5.06,21.8,62
99PR00572,S8465,2,07,11,97,1,2.0,0,R, .,., .,6.1,2.4,,Y,21.92,4.22,19.3,64
99PR00573,S8468,2,43,18,97,1,2.0,7,M,LIM,., .,7.8,3.1,,Y,25.15,5.07,20.1,58
99PR00574,S8469,2,42,12,97,1,2.0,0,C, .,., .,9.4,3.7,,Y,23.34,4.72,20.2,62
99PR00575,S8478,2,42,13,97,1,2.0,0,F, .,., .,8.9,3.5,,Y,22.46,3.87,17.2,62
99PR00576,S8487,2,42,12,97,1,2.0,0,C, .,., .,8.0,3.1,,Y,23.45,4.77,20.3,62
99PR00577,S8488,2,07,12,97,1,2.0,0,C, .,., .,6.6,2.6,,Y,22.62,3.91,17.3,62
99PR00578,S8489,1,07,12,97,1,2.0,0,C, .,2,3+,8.2,3.2,,Y,20.81,3.57,17.2,64
99PR00579,S8497,2,07,10,97,1,2.0,0,M, .,., .,7.8,3.1,TIED UP,Y,24.35,5.09,20.9,60
99PR00580,S8498,2,43,13,97,1,2.0,0,F, .,., .,7.9,3.1,,Y,21.28,4.4,20.7,64
99PR00581,S8512,2,43,13,97,1,2.0,0,F, .,., .,8.0,3.1,4TEATS,Y,23.17,4.73,20.4,62
99PR00582,S8513,2,43,18,97,1,2.0,7,C,LIM,., .,7.3,2.9,,Y,26.0,4.31,16.6,58
99PR00583,S8530,1,07,10,97,1,2.0,0,M, .,2,3,9.2,3.6,BIG,Y,21.91,4.65,21.3,64
99PR00584,S8537,2,42,12,97,1,2.0,0,C, .,., .,8.4,3.3,,Y,24.06,4.39,18.3,60
99PR00585,S8548,2,07,12,97,1,2.0,0,C, .,., .,9.0,3.5,,Y,21.28,4.02,18.9,64
99PR00586,S8554,1,43,13,97,1,2.0,0,F, .,3,3-,7.6,3.0,"WBC,LO MO",Y,24.75,4.83,19.5,60
99PR00587,S8565,2,42,13,97,1,2.0,0,F, .,., .,8.2,3.2,TRT.R.UDDERok,Y,22.86,4.2,18.4,62
99PR00588,S8569,2,43,13,97,1,2.0,0,F, .,., .,8.0,3.1,4TEATS,Y,23.61,4.01,17.0,60
99PR00589,S8570,2,43,13,97,1,2.0,0,F, .,., .,7.0,2.8,,Y,21.17,4.07,19.2,64
99PR00590,S8575,1,43,12,97,1,2.0,0,C, .,6,3+,8.0,3.1,H6,Y,24.25,4.41,18.2,60
99PR00591,S8585,2,43,ID,97,1,2.0,7,I,LIM,., .,7.6,3.0,,Y,22.47,4.1,18.3,62
99PR00592,S8595,1,43,12,97,1,2.0,0,C, .,1,3-,8.5,3.3,FIX BIG TAG,Y,24.23,6.25,25.8,60
99PR00593,S8600,2,42,13,97,1,2.0,0,F, .,., .,8.4,3.3,,Y,22.15,4.35,19.7,62
99PR00594,S8608,2,07,11,97,1,2.0,0,R, .,., .,8.5,3.3,,Y,24.68,4.18,16.9,60
