UID,ETAG,SEX,STM,LINE,YR,AGE,STAPLE_IN,STAPLE_CM,FACE,HORN,RMK,MICRON,SD,CV,CF,DIGR
25PR00271,S5620,1,07,,24,1.0,,9.0,,,SlOver,,,,,
25PR00272,S5625,2,07,,24,1.0,,7.5,,,.,,,,,
25PR00273,S5631,1,07,,24,1.0,,7.5,,,.,,,,,
25PR00274,S5633,1,07,,24,1.0,,6.5,,,Heavy scurs,,,,,
25PR00275,S5634,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00276,S5636,2,43,,24,1.0,,8.0,,,.,,,,,
25PR00277,S5637,2,07,,24,1.0,,6.5,,,1ST,,,,,
25PR00278,S5638,2,07,,24,1.0,,9.0,,,2ND,,,,,
25PR00279,S5648,2,07,,24,1.0,,8.0,,,.,,,,,
25PR00280,S5653,1,07,,24,1.0,,6.0,,,"2-3""H",,,,,
25PR00281,S5654,1,07,,24,1.0,,8.5,,,Scurs,,,,,
25PR00282,S5656,2,07,,24,1.0,,7.0,,,.,,,,,
25PR00283,S5661,1,07,,24,1.0,,8.0,,,.,,,,,
25PR00284,S5663,2,07,,24,1.0,,,,,.,,,,,
25PR00285,S5664,2,07,,24,1.0,,8.5,,,.,,,,,
25PR00286,T8407,2,02,,24,1.0,,8.0,,,.,,,,,
25PR00287,T8414,2,02,,24,1.0,,8.5,,,.,,,,,
25PR00288,T8417,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00289,T8422,2,02,,24,1.0,,12.0,,,2ND,,,,,
25PR00290,T8427,2,02,,24,1.0,,7.0,,,.,,,,,
25PR00291,T8428,2,02,,24,1.0,,7.0,,,.,,,,,
25PR00292,T8434,2,02,,24,1.0,,9.0,,,2ND,,,,,
25PR00293,T8437,2,02,,24,1.0,,7.0,,,THIN,,,,,
25PR00294,T8444,2,02,,24,1.0,,7.5,,,.,,,,,
25PR00295,T8445,1,02,,24,1.0,,10.0,,,Scurs,,,,,
25PR00296,T8449,2,02,,24,1.0,,9.0,,,.,,,,,
25PR00297,T8451,2,02,,24,1.0,,8.0,,,.,,,,,
25PR00298,T8452,2,02,,24,1.0,,6.0,,,.,,,,,
25PR00299,T8454,2,02,,24,1.0,,6.5,,,BL.EYES,,,,,
