UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,SPIN,MICRON,SD,CV,CF,DIGR
06PR00091,H2066,1,30,83,05,1,1.0,0,R,.,1,2+,6.0,2.4,,1,.,Poly,Y,00,22.1,3.5,15.6,98.5,62
06PR00092,H2022,1,30,88,05,1,1.0,0,R,.,2,3+,6.2,2.4,H2,1,.,Poly,Y,00,22.2,3.5,15.8,98.5,62
06PR00093,H2081,1,30,88,05,1,1.0,0,R,.,2,1-,5.2,2.0,H2,1,.,Poly,Y,00,24.4,5.0,20.5,88.5,60
06PR00094,H2092,1,30,88,05,1,1.0,0,R,.,1,1-,6.4,2.5,,1,.,Poly,Y,00,23.0,4.3,18.8,94.2,62
06PR00095,H2078,1,30,82,05,1,1.0,0,R,.,2,3,6.6,2.6,,1,.,Poly,Y,00,23.4,3.6,15.6,97.0,62
06PR00096,H2077,1,30,82,05,1,1.0,0,R,.,2,3+,5.4,2.1,H2+  Quad!,1,.,Poly,Y,00,23.6,4.3,18.2,94.3,60
06PR00097,K1553,1,06,68,01,1,5.0,0,.,.,1,2-,7.0,2.8,"NICE!, Jarvis",1,.,Adg,N,00,,,,,0
06PR00098,K1857,1,06,68,01,1,5.0,0,.,.,2,3,9.0,3.5,Jarvis KEEP,1,.,Adg,N,00,,,,,0
06PR00099,K3134,1,06,68,04,1,2.0,0,.,.,1,2-,8.1,3.2,,1,.,Adg,Y,00,28.0,3.7,13.0,76.7,54
06PR00100,K3132,1,06,68,04,1,2.0,0,.,.,1,2-,7.8,3.1,epd KEEP,1,.,Adg,Y,00,27.7,4.6,16.8,73.9,56
06PR00101,K3138,1,06,68,04,1,2.0,0,.,.,2,3+,8.5,3.3,,1,.,Adg,Y,00,29.6,4.9,16.6,55.8,50
06PR00102,K3154,1,06,68,04,1,2.0,0,.,.,1,3+,8.8,3.5,WHOPPER,1,.,Adg,Y,00,28.0,4.9,17.6,71.4,54
06PR00103,K3193,1,06,68,04,1,2.0,0,.,.,1,3+,9.9,3.9,,1,.,Adg,Y,00,32.3,6.1,18.9,41.2,48
06PR00104,K3195,1,06,68,04,1,2.0,0,.,.,2,3+,8.1,3.2,,1,.,Adg,Y,00,31.8,5.0,15.6,43.4,48
06PR00105,K3012,1,06,68,04,1,2.0,0,.,.,2,2-,8.8,3.5,,1,.,Adg,Y,00,29.9,4.9,16.2,55.9,50
06PR00106,K3044,1,06,68,04,1,2.0,0,.,.,1,2,7.5,3.0,,1,.,Adg,Y,00,33.5,6.0,17.8,26.7,46
06PR00107,K3050,1,06,68,04,1,2.0,0,.,.,1,3+,9.0,3.5,,1,.,Adg,Y,00,31.9,5.1,16.1,39.6,48
